Topic,Count,Representation,ESG_Categories
2,767,"['covid19', 'pandemic', 'covid19 pandemic', 'outbreak', 'public health', 'spread', 'impact covid19', 'result covid19', 'coronavirus', 'health']","['Environmental', 'Social']"
7,245,"['existing laws', 'new laws', 'laws regulations', 'interpretations', 'regulations', 'regulations new', 'changes laws', 'laws', 'existing regulations', 'regulations changes']","['Environmental', 'Governance']"
42,88,"['regulations regulations', 'regulations', 'regulation regulations', 'regulations regulation', 'regulated regulations', 'regulations regulated', 'regulated', 'regulation', 'directives regulations', 'regulations transparency']","['Environmental', 'Governance']"
81,64,"['portfolio', 'portfolio companies', 'funds portfolio', 'funds', 'funds invest', 'investment funds', 'certain funds', 'private equity', 'groups invest', 'invest']",['Environmental']
108,55,"['additional capital', 'capital requirements', 'raise additional', 'capital', 'need raise', 'capital available', 'raise', 'capital fund', 'require additional', 'need additional']","['Environmental', 'Social']"
157,44,"['weather', 'weather conditions', 'drought', 'storm', 'extreme weather', 'storms', 'flooding', 'weather extreme', 'increased storm', 'inclement']",['Environmental']
188,38,"['capital expenditures', 'expenditures', 'expenditures capital', 'capital', 'capital spending', 'rd expenditures', 'expenditures make', 'expensing', 'expensing certain', 'certain capital']","['Environmental', 'Social']"
215,35,"['net operating', 'carryforwards', 'tax attributes', 'use net', 'offset', 'attributes', 'ability use', 'prechange', 'operating loss', 'postchange income']",['Environmental']
230,34,"['tax audits', 'audits', 'examination', 'revenue service', 'tax returns', 'tax authorities', 'returns internal', 'internal revenue', 'examination income', 'audits various']","['Environmental', 'Governance']"
299,29,"['development development', 'developing development', 'development developing', 'development', 'including development', 'developing developing', 'developing', 'development developments', 'development including', 'developments including']","['Environmental', 'Social']"
305,29,"['floods', 'flood', 'flooding', 'floods flood', 'floods floods', 'flooding floods', 'flood floods', 'floods flooding', 'flood flood', 'bridges']",['Environmental']
353,26,"['disposal', 'hazardous', 'hazardous materials', 'waste', 'wastes', 'handling disposal', 'materials', 'disposal hazardous', 'handling', 'hazardous substances']",['Environmental']
370,26,"['disasters natural', 'natural disasters', 'disasters', 'natural', 'natural catastrophes', 'catastrophes natural', 'catastrophes', 'disaster natural', 'natural disaster', 'disaster']",['Environmental']
375,26,"['financial financial', 'financial finance', 'recent financial', 'finance financial', 'managerial fiduciary', 'finance recent', 'fiduciary financial', 'financial recent', 'planning financial', 'finance']",['Environmental']
397,25,"['environmental environmental', 'environmental', 'environment environmental', 'environmental matters', 'subject environmental', 'climate', 'stewardship', 'footprint greenwashing', 'greenwashing climate', 'satisfy environmental']",['Environmental']
420,24,"['health care', 'care', 'utilization', 'valuebased', 'drug pricing', 'changes utilization', 'health', 'medical cost', 'utilization patterns', 'patterns price']","['Environmental', 'Social']"
432,24,"['environmental laws', 'environmental', 'climate change', 'laws environmental', 'climate', 'change laws', 'environmental legislation', 'environmental protection', 'change legislation', 'affecting energy']",['Environmental']
504,22,"['disasters', 'natural', 'natural disasters', 'including natural', 'disasters including', 'natural manmade', 'manmade', 'weather', 'manmade disasters', 'events natural']",['Environmental']
552,21,"['research development', 'research', 'development activities', 'development efforts', 'development research', 'engage research', 'development', 'efforts research', 'activities research', 'activities develop']","['Environmental', 'Social']"
563,20,"['audits', 'regulatory audits', 'audit', 'audited', 'subject audits', 'internal audit', 'audit function', 'audit group', 'audit regulatory', 'audit final']","['Environmental', 'Governance']"
623,18,"['infrastructure infrastructure', 'infrastructure', 'infrastructure architecture', 'architecture', 'architecture features', 'features interconnection', 'architecture operations', 'associated combining', 'combining infrastructure', 'infrastructure protection']",['Environmental']
631,18,"['technology technology', 'technology', 'technological technology', 'technology technological', 'technological', '', '', '', '', '']","['Environmental', 'Social']"
