Topic,Count,Representation,ESG_Categories
2,767,"['covid19', 'pandemic', 'covid19 pandemic', 'outbreak', 'public health', 'spread', 'impact covid19', 'result covid19', 'coronavirus', 'health']","['Environmental', 'Social']"
47,85,"['compliance costs', 'compliance', 'costs compliance', 'financial compliance', 'legal financial', 'expenses effort', 'additional costs', 'increased compliance', 'effort comply', 'associated compliance']","['Social', 'Governance']"
49,82,"['poor', 'value investments', 'investments', 'funds', 'investments lower', 'liquidity investments', 'poor performance', 'reducing', 'value', 'poor fund']",['Social']
58,75,"['regulatory requirements', 'requirements regulatory', 'compliance', 'compliance applicable', 'laws regulatory', 'compliance laws', 'policies procedures', 'requirements compliance', 'ensure compliance', 'procedures designed']","['Social', 'Governance']"
71,68,"['securities raise', 'securities', 'equity securities', 'equity', 'bonds', 'reinvesting', 'equitylinked', 'raise additional', 'trading securities', 'additional equity']",['Social']
82,64,"['pay', '', '', '', '', '', '', '', '', '']",['Social']
95,57,"['loan funding', 'funding programs', 'loan', 'loans', 'funding', 'pools', 'investors loan', 'pools loans', 'partners investors', 'programs']",['Social']
103,56,"['brexit', 'withdrawal', 'european union', 'union', 'kingdom', 'united kingdom', 'eu', 'united kingdoms', 'kingdoms', 'eu brexit']",['Social']
108,55,"['additional capital', 'capital requirements', 'raise additional', 'capital', 'need raise', 'capital available', 'raise', 'capital fund', 'require additional', 'need additional']","['Environmental', 'Social']"
121,52,"['acquisitions', 'integrate', 'realize anticipated', 'future acquisitions', 'acquisition', 'acquisition integration', 'successfully integrate', 'integrate acquisitions', 'integration', 'realize']",['Social']
139,48,"['networks networks', 'networks', 'network networks', 'upstart network', 'internal networks', 'systems connectivity', '15northrop grumman', '15northrop', 'specifically networks', 'corporationsystems']",['Social']
147,46,"['repurchase program', 'repurchase', 'share repurchase', 'stock repurchase', 'program', 'program fully', 'program does', 'fully consummated', 'repurchases', 'consummated']",['Social']
184,38,"['protection data', 'data protection', 'protection', 'data', 'foreign data', 'protection foreign', 'protection net', 'neutrality data', 'information protection', 'protection information']","['Social', 'Governance']"
188,38,"['capital expenditures', 'expenditures', 'expenditures capital', 'capital', 'capital spending', 'rd expenditures', 'expenditures make', 'expensing', 'expensing certain', 'certain capital']","['Environmental', 'Social']"
217,35,"['industry standards', 'standards industry', 'standards', 'technology standards', 'technical standards', 'differing technology', 'standards standards', 'industry', 'standards applicable', 'facilitate product']","['Social', 'Governance']"
221,35,"['manage growth', 'growth able', 'able grow', 'limit growth', 'growth', 'growth fail', 'growth manage', 'manage', 'fail manage', 'fail effectively']",['Social']
238,33,"['policies policies', 'policies', 'announced policies', 'policies announced', 'guidelines policies', 'policy', 'new unclear', 'including policy', 'includes policies', 'treatment guidelines']","['Social', 'Governance']"
243,33,"['interoperate', 'interoperate customers', 'products interoperate', 'networks products', 'networks', 'customers existing', 'internal networks', 'interoperate products', 'broadband', 'customers networks']",['Social']
252,32,"['culture', 'corporate culture', 'company culture', 'culture grow', 'maintain corporate', 'aspects culture', 'contributor success', 'culture maintain', 'grow believe', 'maintain company']","['Social', 'Governance']"
299,29,"['development development', 'developing development', 'development developing', 'development', 'including development', 'developing developing', 'developing', 'development developments', 'development including', 'developments including']","['Environmental', 'Social']"
330,27,"['safety safety', 'safety', 'workplace safety', 'product safety', 'workplace', 'safety safe', 'safety workplace', 'safe use', 'safety product', 'safety issues']",['Social']
337,27,"['liabilities liabilities', 'liabilities', 'liabilities businesses', 'responsibility liabilities', 'relating arising', 'liabilities relating', 'responsibility', 'businesses acquire', '30table contentsincur', 'acquire unanticipated']","['Social', 'Governance']"
