Topic,Count,Representation,ESG_Categories
4,401,"['privacy', 'gdpr', 'personal data', 'data privacy', 'data protection', 'personal', 'security laws', 'general data', 'protection regulation', 'data']",['Governance']
14,187,"['compliance', 'approvals', 'regulatory requirements', 'policies procedures', 'procedures designed', 'regulatory approvals', 'requirements compliance', 'regulatory', 'compliance laws', 'laws regulatory']","['Social', 'Governance']"
25,136,"['cyberattacks', 'attacks', 'cybersecurity', 'cyber', 'threats', 'cyber attacks', 'cybersecurity attacks', 'cybersecurity threats', 'sophistication', 'sophisticated']",['Governance']
30,115,"['risks risks', 'risks described', 'risks', 'addition risks', 'risks actually', 'described', 'materialize', 'described section', 'actually', 'increased risks']",['Governance']
35,107,"['compliance costs', 'compliance', 'costs compliance', 'financial compliance', 'incur substantial', 'increased compliance', 'substantial costs', 'legal financial', 'compliance burdens', 'costs']","['Social', 'Governance']"
36,107,"['internal control', 'control financial', 'financial reporting', 'reporting', 'internal', 'public accounting', 'accounting firm', 'independent registered', 'registered public', 'disclosure controls']",['Governance']
69,68,"['reputation reputation', 'reputation', 'reputation reputational', 'reputational reputation', 'correlation reputation', 'reputation correlation', 'reward reputation', 'reputation reward', 'reputation including', 'including reputation']",['Governance']
70,67,"['regulations regulations', 'regulations', '', '', '', '', '', '', '', '']","['Environmental', 'Governance']"
82,63,"['brand', 'reputation brand', 'brand reputation', 'harm brand', 'brand harm', 'brand damage', 'reputation', 'brand adversely', 'affect brand', 'damage brand']",['Governance']
88,60,"['protection data', 'data protection', 'security data', 'protection', 'data security', 'encryption data', 'protection identity', 'data', 'identity protection', 'foreign data']","['Social', 'Governance']"
110,52,"['political political', 'political', 'political leadership', 'political civil', 'leadership', 'andpolitical', 'andpolitical political', 'religion political', 'sentiment including', 'political oppositions']","['Social', 'Governance']"
132,47,"['esg', 'esg matters', 'esg practices', 'stakeholder expectations', 'stakeholder', 'governance', 'governance esg', 'reporting esg', 'social governance', 'practices meet']",['Governance']
149,45,"['breaches security', 'security breaches', 'breaches', 'security breach', 'breach', 'breach security', 'security', 'incidents security', 'actual perceived', 'breach breaches']",['Governance']
156,44,"['industry standards', 'standards industry', 'standards', 'multiple protocol', 'technology standards', 'utilize multiple', 'protocol standards', 'standards standards', 'protocol', 'differing technology']","['Social', 'Governance']"
168,42,"['directors', 'board directors', 'board', 'including election', 'election', 'election directors', 'directors approval', 'independent directors', 'vacancies board', 'vacancies']",['Governance']
169,41,"['policies policies', 'policies', 'policies announced', 'announced policies', 'policy', 'policies policy', 'policy changes', 'guidelines policies', 'activity need', 'existing policies']","['Social', 'Governance']"
227,35,"['incentives', 'compensation', 'incentive', 'provisions regarding', 'regarding compensation', 'incentives various', 'government incentives', 'incentive programs', 'incentive fee', 'remuneration']",['Governance']
228,35,"['metrics', 'family metrics', 'family', 'metrics estimates', 'inaccuracies', 'material inaccuracies', 'discover material', 'technical errors', 'inaccuracies metrics', 'discover']",['Governance']
233,35,"['culture', 'corporate culture', 'company culture', 'culture grow', 'maintain corporate', 'contributor', 'culture maintain', 'contributor success', 'culture maintaining', 'inclusive culture']","['Social', 'Governance']"
250,33,"['government contracts', 'contracts government', 'contracts', 'contracts contracts', 'government contracting', 'government', 'existing contracts', 'contracting', 'customary government', 'recognized financial']",['Governance']
266,32,"['xu', 'chairman', 'chair board', 'chair', 'chairman board', 'board', 'xu chair', 'xu xu', 'board member', 'tony']",['Governance']
272,32,"['accounting', 'accounting principles', 'principles', 'accounting standards', 'changes accounting', 'accounting policies', 'generally accepted', 'accepted accounting', 'change accounting', 'accounting pronouncements']",['Governance']
284,32,"['reputation damage', 'damage reputation', 'damage', 'reputation', 'reputation harm', 'harm reputation', 'damaged damage', 'detriment damage', 'protection reputation', 'reputation damaging']",['Governance']
287,31,"['lose clients', 'reputation', 'damage reputation', 'clients damage', 'reputation lose', 'damaged financial', 'business reputation', 'damage', 'reputation damaged', 'reputation materially']",['Governance']
300,31,"['tax audits', 'audits', 'tax returns', 'revenue service', 'returns internal', 'tax authorities', 'internal revenue', 'examination income', 'audits various', 'audits subject']","['Environmental', 'Governance']"
301,31,"['interpretations', 'interpretations thereof', 'interpretations interpretations', 'interpretations principles', 'thereof', 'interpretation interpretations', 'interpretation', 'interpretation application', 'principles', 'principles interpretation']",['Governance']
306,30,"['business strategy', 'strategy', 'strategy business', 'execute', 'execute business', 'strategy execute', 'overall business', 'execute strategy', 'strategic plans', 'objectives']",['Governance']
320,30,"['audits', 'regulatory audits', 'audit', 'audits audits', 'internal audit', 'audits investigations', 'cms oig', 'oig', 'subject audits', 'audited']","['Environmental', 'Governance']"
326,29,"['security security', 'security', 'performance security', 'equipment passwords', 'configurations security', 'security configurations', 'espionage security', 'passwords security', 'security access', 'secure security']",['Governance']
335,29,"['privacy privacy', 'privacy', 'biometrics', 'privacy personal', 'personal privacy', 'biometrics privacy', 'advocates privacy', 'privacy user', 'privacy secrets', 'privacy biometrics']",['Governance']
342,29,"['cybersecurity', 'cybersecurity professionals', 'cybersecurity industry', 'nonprofit', 'support generation', 'scholarships nonprofit', 'cybersecurity provider', 'cybersecurity artificial', 'cybersecurity response', 'demand cybersecurity']",['Governance']
374,27,"['protection consumer', 'consumer protection', 'consumer', 'protection', 'protection significant', 'internet consumer', 'collaboration consumer', 'agencies consumer', 'apply aspects', 'protection apply']","['Social', 'Governance']"
376,27,"['management management', 'management manage', 'manager', 'manage management', 'manager manager', 'management', 'apm', 'respect apm', 'opinion management', 'product management']",['Governance']
386,27,"['bribery act', 'bribery', 'act bribery', 'act 2010', 'uk bribery', '2010', 'uk', 'generally prohibit', 'prohibit companies', 'act']",['Governance']
395,26,"['effect reputation', 'affect reputation', 'reputation adversely', 'interpretation adverse', 'reputation changes', 'reputation', 'reputation damage', 'reputation harm', 'existing standards', 'changes interpretation']",['Governance']
439,24,"['investors investors', 'investors', 'institutional investors', 'institutional', 'interacting public', 'company investors', 'soliciting', 'certain institutional', 'interacting', 'investors certain']",['Governance']
538,21,"['sec', 'filings', 'forms information', 'financial officers', 'executive financial', 'act accumulated', 'reported time', 'periods specified', 'specified sec', 'rules forms']",['Governance']
550,21,"['directors directors', 'directors', 'adtran directors', 'director mr', 'mr directors', 'directors individual', 'indemnification adtran', 'individual directors', 'directors director', 'replacement directors']",['Governance']
582,20,"['erisa', 'funds accounts', 'provisions erisa', 'fiduciary responsibility', 'transaction provisions', 'fiduciary', 'plan assets', '4975', 'section 4975', '4975 code']",['Governance']
616,19,"['aware certain', 'aware', 'evaluations', 'deductibility', 'aspects recommendations', 'certain certain', 'addition reach', 'additionally aware', 'certain aware', 'extent including']",['Governance']
624,19,"['geopolitical', 'geopolitical tensions', 'tensions', 'events geopolitical', 'tensions geopolitical', 'conflicts geopolitical', 'geopolitical events', 'tensions conflicts', 'military conflicts', 'conflicts']",['Governance']
631,19,"['controls controls', 'controls control', 'controls', '9b', 'cis controls', 'controllers controls', 'controls active', '9b cis', 'control controls', 'controls controllers']",['Governance']
633,19,"['data privacy', 'privacy data', 'privacy security', 'privacy', 'practices data', 'security practices', 'relating data', 'security issues', 'developments data', 'consumer personal']",['Governance']
653,18,"['ownership change', 'corporation undergoes', 'undergoes ownership', 'ownership', 'undergoes', 'change ownership', 'ownership changes', 'threeyear period', 'exceeds 50', 'points rolling']",['Governance']
709,17,"['procurement', 'procurement integrity', 'procurements', 'integrity procurement', 'integrity', 'industry procurements', 'construction procurement', 'decisions procurement', 'act procurements', 'believe results']",['Governance']
721,17,"['pandemic covid19', 'covid19 pandemic', 'pandemic', 'covid19', 'elections', 'countries contain', 'contain address', 'decisions connection', 'connection elections', 'address pandemic']",['Governance']
732,17,"['export controls', 'controls export', 'controls import', 'export', 'controls', 'importexport controls', 'import', 'import controls', 'importexport', 'import export']",['Governance']
815,15,"['evolving industry', 'standards evolving', 'industry standards', 'evolving', 'standards', 'industry', 'customers evolving', 'emerge preferred', 'implemented uniformly', 'industry regulatory']","['Social', 'Governance']"
835,15,"['antibribery antibribery', 'antibribery', 'bribery antibribery', 'bribery', 'antibribery bribery', 'bribery bribery', '', '', '', '']",['Governance']
870,15,"['diversity', 'differences diversity', 'cultural differences', 'diversity cultural', 'differences', 'cultural', 'diverse employees', 'diverse diversity', 'differing diverse', 'diversity key']","['Social', 'Governance']"
872,15,"['liquidity reputation', 'reputation liquidity', 'reputation financial', 'statements reputation', 'reputation', 'reputation reputation', 'price reputation', 'flows reputation', 'earnings reputation', 'reputation cash']",['Governance']
879,15,"['conflicts', 'conflicts arise', 'opportunities funds', 'potential conflicts', 'arise', 'allocation', 'coinvestors', 'exist valuation', 'valuation investments', 'regarding allocate']",['Governance']
929,14,"['conflicts', 'rise conflicts', 'addressed conflicts', 'conflicts group', 'client material', 'client associations', 'associations rise', 'behalf client', 'arrangements general', 'additional partner']",['Governance']
978,13,"['controlled company', 'controlled', 'corporate governance', 'standards new', 'listing standards', 'york stock', 'stock exchange', 'listing', 'governance', 'nyse']",['Governance']
982,13,"['reputation harmed', 'harmed reputation', 'damaged reputation', 'reputation damaged', 'harmed suffer', 'reputation suffer', 'damaged', 'reputation', 'suffer', 'suffer damage']",['Governance']
