Topic,Count,Representation,ESG_Categories
-1,26742,"['products', 'ability', 'costs', 'services', 'customers', 'market', 'increase', 'customer', 'new', 'impact']",['Environmental']
70,67,"['regulations regulations', 'regulations', '', '', '', '', '', '', '', '']","['Environmental', 'Governance']"
95,56,"['portfolio companies', 'portfolio', 'funds portfolio', 'private equity', 'funds', 'companies funds', 'funds certain', 'equity group', 'group funds', 'funds invest']",['Environmental']
116,50,"['weather', 'natural', 'disasters', 'natural disasters', 'severe weather', 'weather conditions', 'hurricanes', 'weather including', 'including natural', 'severe']",['Environmental']
167,42,"['electric', 'cells', 'electric vehicles', 'battery', 'vehicles', 'energy storage', 'energy', 'battery cells', 'lithiumion', 'electricity']",['Environmental']
245,34,"['hazardous', 'disposal', 'hazardous materials', 'waste', 'wastes', 'handling disposal', 'materials', 'disposal hazardous', 'substances', 'recycling']",['Environmental']
247,34,"['health care', 'care', 'drug pricing', 'medical cost', 'utilization', 'care costs', 'cost trends', 'changes utilization', 'valuebased', 'health']","['Environmental', 'Social']"
275,32,"['disasters natural', 'natural disasters', 'disasters', 'natural', 'catastrophes natural', 'natural catastrophes', 'catastrophes', 'contentsnatural', 'and17table', 'and17table contentsnatural']",['Environmental']
277,32,"['capital expenditures', 'expenditures', 'expenditures capital', 'capital spending', 'capital', 'expenditures make', 'spending capital', 'including capital', 'necessary capital', 'spending']","['Environmental', 'Social']"
300,31,"['tax audits', 'audits', 'tax returns', 'revenue service', 'returns internal', 'tax authorities', 'internal revenue', 'examination income', 'audits various', 'audits subject']","['Environmental', 'Governance']"
320,30,"['audits', 'regulatory audits', 'audit', 'audits audits', 'internal audit', 'audits investigations', 'cms oig', 'oig', 'subject audits', 'audited']","['Environmental', 'Governance']"
325,29,"['resources resources', 'resources', 'resources significant', 'corporate development', 'development program', 'resources systems', 'significant resources', 'acquire corporate', 'based corporate', 'address resources']",['Environmental']
346,28,"['financial financial', 'financial finance', 'finance financial', 'financial recent', 'recent financial', 'managerial financial', 'finance', 'financial managerial', 'financial', 'managerial']",['Environmental']
353,28,"['additional capital', 'raise additional', 'need raise', 'raise', 'capital', 'need additional', 'capital expand', 'capital needed', 'fund activities', 'capital fund']","['Environmental', 'Social']"
413,25,"['development development', 'development', 'whitepaper', 'development redevelopment', 'developments development', 'redevelopment development', 'whitepaper development', 'development whitepaper', 'development developments', 'redevelopment']","['Environmental', 'Social']"
477,23,"['failures', 'malfunctions', 'hardware failures', 'failures failures', 'degradation', 'hardware', 'deployed unexpected', 'degradation failure', 'destruction malfunction', 'failures platform']",['Environmental']
484,23,"['research development', 'research', 'development research', 'development', 'development efforts', 'efforts research', 'engage research', 'individual contributors', 'development activities', 'contributors']","['Environmental', 'Social']"
523,22,"['technology technology', 'technology technological', 'technological technology', 'technology', 'technology chemistry', 'chemistry', 'chemistry technology', 'technological technological', 'technological', '']","['Environmental', 'Social']"
559,21,"['energy', 'renewable', 'energy consumption', 'renewable energy', 'products energy', 'costs energy', 'consumption associated', 'energy products', 'energy costs', 'lithiumion cells']",['Environmental']
580,20,"['freight', 'logistics costs', 'shipping', 'increased logistics', 'air', 'increased dependence', 'highercost air', 'availability flights', 'costs air', 'air freight']",['Environmental']
622,19,"['climate change', 'climate', 'change laws', 'change environmental', 'address climate', 'address global', 'change', 'environmental', 'related climate', 'laws environmental']",['Environmental']
638,19,"['natural gas', 'gas', 'dioxide', 'carbon dioxide', 'carbon', 'gases', 'oil', 'including carbon', 'coal', 'fuel']",['Environmental']
