Name,Representation,Count,ESG_Categories
0_cyber_information_systems_data,"cyber,information,systems,data,attacks,disruptions,unauthorized,security,unauthorized access,corruption,infrastructure,disruption",95,"Environmental,Social,Governance"
7_fracturing_hydraulic_hydraulic fracturing_fracturing process,"fracturing,hydraulic,hydraulic fracturing,fracturing process,disclosure,used hydraulic,states,chemicals used,local,colorado,adopted,considering",62,Governance
8_laws regulations_health safety_state local_laws,"laws regulations,health safety,state local,laws,operations subject,description,regulations,federal state,health,local laws,local,safety",61,"Social,Governance"
10_predict_time predict_possible time_possible,"predict,time predict,possible time,possible,enacted,legislation,predict effect,time,impact business,cftc,regulations,future laws",54,Governance
25_laws regulations_compliance costs_new laws_compliance,"laws regulations,compliance costs,new laws,compliance,laws,revised,existing laws,regulations,reinterpreted,revised reinterpreted,reinterpreted new,costs",34,Governance
33_cyber_assurance_security_attacks,"cyber,assurance,security,attacks,incidents,extended period,threats,cyber incidents,cybersecurity,remain,procedures controls,surveillance",32,Governance
38_risk factors_risk_1a risk_item,"risk factors,risk,1a risk,item,item 1a,1a,carefully,7a,market risk,factors,information included,qualitative",29,"Environmental,Governance"
39_bylaws_stockholders_provisions_directors,"bylaws,stockholders,provisions,directors,certificate,amended restated,restated,change control,incorporation,certificate incorporation,amended,board directors",29,Governance
40_integrating_acquired_integration_acquisitions,"integrating,acquired,integration,acquisitions,significant acquisitions,difficulties,management,properties substantially,geographic locations,businesses properties,challenge,different",29,"Social,Governance"
42_criminal_failure comply_civil criminal_penalties,"criminal,failure comply,civil criminal,penalties,civil,comply laws,administrative,comply,regulations result,failure,suspension termination,suspension",28,Governance
64_derivative_expose_expose risk_circumstances including,"derivative,expose,expose risk,circumstances including,risk financial,counterparty,financial loss,risk,arrangements expose,derivative instrument,instrument,counterparties",23,"Environmental,Governance"
74_libor_2021_methodologies_replacement,"libor,2021,methodologies,replacement,transition,replacement rates,rates,authority,july,announced,reference,submit",22,Governance
76_continue incur_incur substantial_expenditures_governmental laws,"continue incur,incur substantial,expenditures,governmental laws,laws regulations,compliance,laws,remediation,expenditures comply,regulations,comply,environmental laws",22,"Environmental,Governance"
78_pipeline_integrity_integrity management_phmsa,"pipeline,integrity,integrity management,phmsa,pipeline safety,management requirements,safety,management,testing,creation act,job creation,management programs",22,"Social,Governance"
84_authority_asserted_diesel_fracturing,"authority,asserted,diesel,fracturing,authority certain,certain aspects,hydraulic fracturing,hydraulic,underground,underground injection,federal agencies,regulated state",21,Governance
86_assurance able_assurance_able successfully_employment,"assurance able,assurance,able successfully,employment,employment agreements,able,complete,provide assurance,successfully complete,specifications,successfully,license interests",21,Governance
88_inherently_inherently uncertain_assessments_accuracy,"inherently,inherently uncertain,assessments,accuracy,uncertain,data,production data,discoveries prospects,geophysical,engineering studies,evaluation,analyses",20,Governance
90_ghg_ghg emissions_reporting_epa,"ghg,ghg emissions,reporting,epa,emissions,monitoring,sources,monitoring reporting,adopted,caa,emissions certain,adopted rules",20,"Environmental,Governance"
94_sanctions_jones_jones act_vessels,"sanctions,jones,jones act,vessels,coastwise,trade,point,countries,colombia,foreign,citizens,doing business",20,Governance
103_internal_financial reporting_controls_internal controls,"internal,financial reporting,controls,internal controls,oxley,oxley act,sarbanes oxley,sarbanes,reporting,section,maintain effective,fraud",18,Governance
111_permits_obtaining_delays_conduct,"permits,obtaining,delays,conduct,permitting,conduct business,conduct operations,delays operations,ability profitably,enactment,impede,profitably",17,Governance
121_management_management technical_large extent_technical,"management,management technical,large extent,technical,executive,senior management,team,personnel,chairman,technical personnel,members,board",16,Governance
136_targets_terrorist_energy assets_threats,"targets,terrorist,energy assets,threats,indicate,specific,terrorist attacks,attacks,security threats,including cybersecurity,security,cybersecurity threats",14,Governance
144_opportunity_officer_director officer_business opportunity,"opportunity,officer,director officer,business opportunity,director,certificate incorporation,incorporation,certificate,directors,citizens,petrotal,officers directors",13,"Social,Governance"
157_strategic transactions_strategy_periodically_strategic,"strategic transactions,strategy,periodically,strategic,businesses assets,transactions including,evaluate,appear,growth strategy,acquisition,business strategy,businesses",12,Governance
162_credit risk_receivables_risk_concentration,"credit risk,receivables,risk,concentration,exposure credit,principal,credit,significant customers,customers,risk related,commodity derivative,exposure",11,"Environmental,Governance"
