Name,Representation,Count,ESG_Categories
10_shut_unavailable_wells_facilities,"shut,unavailable,wells,facilities,co2,delay,producing wells,unable realize,processing,arrangements,access,gathering processing",52,Social
11_petroleum contracts_enter_drill_joint,"petroleum contracts,enter,drill,joint,petroleum,agreements,land,contracts,pooled,transportation agreements,rights,joint ventures",50,"Environmental,Social"
22_state local_materials_federal state_local,"state local,materials,federal state,local,local laws,laws regulations,laws,health safety,operations subject,safety,regulations,discharge",35,"Social,Governance"
32_dividends_board directors_board_directors,"dividends,board directors,board,directors,payment,payment dividends,pay dividends,pay,dividend,considerations,discretion,common",30,"Social,Governance"
38_intellectual_intellectual property_property rights_rights,"intellectual,intellectual property,property rights,rights,property,ghanaian,secrets,trade secrets,disagreements,enforce,patent,maintain protect",29,Social
44_interruptions_processing transportation_production wells_weather,"interruptions,processing transportation,production wells,weather,transportation,processing,capacity,disproportionately,constraints,capacity constraints,facilities,interruptions production",28,Social
48_processing_processing facilities_facilities_depends,"processing,processing facilities,facilities,depends,availability proximity,capacity gathering,owned,availability,lng,proximity capacity,capacity,owned operated",26,Social
63_capital_additional capital_raise_fund,"capital,additional capital,raise,fund,external financing,access external,acceptable terms,external,capital necessary,available,raise additional,sufficient",22,Social
66_integration_integrating_integration process_acquired,"integration,integrating,integration process,acquired,process,significant acquisitions,challenge,management,integrating acquired,acquired operations,businesses properties,acquisitions",21,"Social,Governance"
87_substantial capital_require substantial_capital expenditures_substantial,"substantial capital,require substantial,capital expenditures,substantial,expenditures,development exploitation,projects require,capital,exploitation,exploitation projects,make,expect",17,Social
95_description_safety regulation_occupational health_occupational,"description,safety regulation,occupational health,occupational,health safety,safety,businessenvironmental,regulation discussion,items business,safety matters,regulation,matters",16,Social
96_debt equity_fund_sale_capital expenditures,"debt equity,fund,sale,capital expenditures,cash,issuance,relied,equity,capital,cash generated,issuance additional,proceeds",16,Social
153_subject number_variables_locate_existing wells,"subject number,variables,locate,existing wells,developing producing,reserves ability,access,ability access,produce,ability acquire,capital markets,developing",9,Social
156_capital funding_potential development_available capital_result reduction,"capital funding,potential development,available capital,result reduction,future financial,development projects,funding,impacting,program,financial results,capital,expenditure",9,"Social,Governance"
163_fixed_regardless_entered_contracts,"fixed,regardless,entered,contracts,require pay,require,service providers,providers based,regardless actual,term contracts,reserved,pay",9,Social
186_competitive_technologies_competitive manner_cost competitive,"competitive,technologies,competitive manner,cost competitive,timely cost,obsolete,technology,implement,trends,adversely affected,develop produce,deliver",7,Social
200_conocophillips_connection separation_equitrans midstream_equitrans,"conocophillips,connection separation,equitrans midstream,equitrans,pursuant,separation,certain agreements,agreed,pursuant agreements,responsibility,indemnify,entered",6,"Social,Governance"
