Name,Representation,Count,ESG_Categories
13_local laws_laws regulations_federal state_state local,"local laws,laws regulations,federal state,state local,regulations,laws,local,operations subject,safety,environmental,health safety,state",37,"Social,Governance"
18_assurance_specifications_reflect current_current plans,"assurance,specifications,reflect current,current plans,achieved,able,assurance able,provide assurance,assure,property rights,rights,reflect",35,"Social,Governance"
26_digital_dependent digital_data_operating data,"digital,dependent digital,data,operating data,dependent,record,increasingly dependent,technology,systems,process record,record financial,financial operating",31,Social
27_doing business_doing_capital_opportunities,"doing business,doing,capital,opportunities,pursue acquisition,cause cost,cost doing,business increase,ability pursue,acquisition opportunities,related financial,place competitive",31,Social
37_intellectual property_intellectual_property rights_rights,"intellectual property,intellectual,property rights,rights,property,license,trade secrets,secrets,enforce,maintain protect,licenses,obtain maintain",27,Social
53_energy_technologies_solutions_energy transition,"energy,technologies,solutions,energy transition,transition,technology,carbon,lcs,ccs,adapt,advanced,emerging",23,"Environmental,Social"
59_unavailable_shut_access oil_required shut,"unavailable,shut,access oil,required shut,processing,access,reasons,gas ngl,ability sell,markets delay,transportation arrangements,access midstream",20,Social
63_sufficient_debt_financing sell_sufficient cash,"sufficient,debt,financing sell,sufficient cash,financing,capital,liquidity,negotiate renewals,unable negotiate,funds unable,sell,sell significant",20,Social
68_safety regulation_items_description_regulation,"safety regulation,items,description,regulation,businessregulation,safety,businessenvironmental,items business,health safety,item,occupational health,occupational",19,Social
81_substantial capital_expect_capital expenditures_expenditures,"substantial capital,expect,capital expenditures,expenditures,substantial,make,require substantial,capital,allocated,expect continue,acquisition,acquire develop",17,Social
85_capital_fund_access external_external financing,"capital,fund,access external,external financing,external,financing,capital necessary,additional capital,raise additional,raise,sufficient,fund capital",17,Social
131_sources capital_capitalization_sale_debt equity,"sources capital,capitalization,sale,debt equity,proceeds,cash generated,equity,generated operations,capital,equity securities,generated,alter",11,Social
138_properties areas_partially_depleted_offset,"properties areas,partially,depleted,offset,actions operators,certain wells,wells adversely,wellbore,drilling new,migration,away existing,vicinity",11,"Environmental,Social"
143_acquired_integrating_challenge_acquisitions,"acquired,integrating,challenge,acquisitions,strategic transactions,significant acquisitions,integration,acquired operations,strategic,businesses properties,andthe,transactions",10,Social
146_unable maintain_technology_maintain_competitive,"unable maintain,technology,maintain,competitive,obsolescence,competitive manner,cost competitive,obsolescence products,timely cost,advantage hold,adversely affected,competitive advantage",10,Social
158_stakeholder_expectations_evolving_investor,"stakeholder,expectations,evolving,investor,meet evolving,retain employees,esg,meet,community,ability attract,standards,partner",9,"Social,Governance"
161_heavy_capacity_oil refined_capacity gathering,"heavy,capacity,oil refined,capacity gathering,production depends,crude oil,crude,marketability,facilities,processing,availability,owned operated",9,Social
176_new reserves_subject number_locate_ability access,"new reserves,subject number,locate,ability access,variables,existing wells,capital subject,access,developing producing,produce,reserves ability,ability acquire",8,Social
