Name,Representation,Count,ESG_Categories
1_cyber_attacks_systems_information,"cyber,attacks,systems,information,data,corruption,unauthorized,disruptions,infrastructure,unauthorized access,attack,networks",83,"Environmental,Social,Governance"
10_operations subject_laws regulations_local laws_health,"operations subject,laws regulations,local laws,health,health safety,federal state,local,laws,regulations,safety,state local,materials",48,"Social,Governance"
16_digital_dependent digital_operating data_technology,"digital,dependent digital,operating data,technology,increasingly dependent,data,financial operating,record,dependent,systems,technologies,increasingly",40,Social
35_dividends_board directors_board_directors,"dividends,board directors,board,directors,common stock,common,stock,pay,discretion,factors board,future issuances,shares",30,"Social,Governance"
39_access_hinder access_markets delay_unavailability,"access,hinder access,markets delay,unavailability,hinder,access oil,delay production,market conditions,required shut,unavailable,shut,processing",29,Social
49_integrating_integration_acquired_integration process,"integrating,integration,acquired,integration process,difficulties,acquisitions,attention,management,significant acquisitions,management attention,process integrating,businesses properties",27,"Social,Governance"
94_external_capital_financing_external financing,"external,capital,financing,external financing,turn lead,raise,access,cash flow,sufficient,cash,additional financing,obtain additional",20,Social
111_availability proximity_capacity gathering_production depends_depends,"availability proximity,capacity gathering,production depends,depends,proximity capacity,availability,capacity,proximity,parties,processing facilities,ability market,availability capacity",18,Social
117_million_approximately_2019_expenditures,"million,approximately,2019,expenditures,capital expenditures,capital,basin approximately,drilling completions,2019 capital,focused,allocated,includes",17,Social
136_intellectual_intellectual property_property rights_property,"intellectual,intellectual property,property rights,property,rights,secrets,trade secrets,ge,protect intellectual,marks,licensed,party claims",16,Social
161_integrity management_costs operational_management programs_increased capital,"integrity management,costs operational,management programs,increased capital,pipeline safety,integrity,stringent,safety aspects,aspects operations,capital operating,operational delays,safety",13,"Social,Governance"
169_safety act_safety_pipeline safety_phmsa,"safety act,safety,pipeline safety,phmsa,lines,2011 pipeline,2011,2016,consequence areas,phmsas,pipeline,emergency",12,Social
170_new reserves_locate_subject number_variables,"new reserves,locate,subject number,variables,ability acquire,produce existing,produce,existing wells,operations access,able produce,access capital,access",12,Social
192_attract_retain_ability attract_motivate,"attract,retain,ability attract,motivate,manage,attract retain,retain experienced,success,workforce,operations depend,professionals,integral",10,Social
214_enhance_maximize_better_efficiencies,"enhance,maximize,better,efficiencies,improve,opportunity,efficiency,recovery,positions,return,development project,combination factors",10,"Environmental,Social"
215_facilities_turnarounds_lack_capacity,"facilities,turnarounds,lack,capacity,shut,line,severe weather,lack operating,deliveries,facilities unavailable,insufficient,repair",10,Social
220_derivative instruments_instruments_accounting purposes_post collateral,"derivative instruments,instruments,accounting purposes,post collateral,collateral,post,derivative,sheet,cash settlements,balance sheet,balance,gains",9,Social
258_pipeline safety_related pipeline_pipeline_hlpsa,"pipeline safety,related pipeline,pipeline,hlpsa,ngpsa,safety,gas pipeline,construction operation,hlpsa ngpsa,pipelines subject,subject stringent,govern",7,Social
264_significant delays_liabilities result_delays costs_safety requirements,"significant delays,liabilities result,delays costs,safety requirements,requirements applicable,result environmental,costs liabilities,environmental occupational,health safety,health,applicable exploration,occupational health",7,Social
