Name,Representation,Count,ESG_Categories
7_adversely_adversely affect_mortgage_affect,"adversely,adversely affect,mortgage,affect,reit,freddie mac,ability,mae freddie,fannie,fannie mae,freddie,capital",79,Social
33_existing customer_customer base_base_expand,"existing customer,customer base,base,expand,opportunity,customers,platform,existing,grow,customers expand,brand,new",50,Social
40_administrative_human resources_expenses consist_legal,"administrative,human resources,expenses consist,legal,personnel,general administrative,administrative expenses,human,general,consist,salaries,personnel costs",47,Social
58_policies_accounting policies_critical_accounting,"policies,accounting policies,critical,accounting,critical accounting,judgments,policies estimates,accounting estimate,subjective,estimates,understanding,uncertain time",40,"Environmental,Social"
126_capital expenditures_expenditures_capital_expenditures capital,"capital expenditures,expenditures,capital,expenditures capital,expect incur,projects,plant,million 2022,incur,gross capital,estimate additional,expenditures 2021",28,Social
136_employees_pandemic_employees customers_health,"employees,pandemic,employees customers,health,monitor,interests employees,actions,authorities,determine best,authorities determine,state local,actively monitor",27,Social
139_sheet arrangements_balance sheet_sheet_balance,"sheet arrangements,balance sheet,sheet,balance,purpose,arrangements,entities,special purpose,unconsolidated,structured,arrangementsas,recourse",26,Social
148_laws_regulations_laws regulations_emissions,"laws,regulations,laws regulations,emissions,european union,carbon,union,ghg emissions,ghg,regulatory,subsidiaries operating,regulations jurisdictions",25,"Environmental,Social,Governance"
157_research_research development_development_development expenses,"research,research development,development,development expenses,travel entertainment,operating expenses,entertainment,expenses,thousands research,costs excluding,human,expenses increased",24,"Environmental,Social"
167_non gaap_gaap_measures_gaap financial,"non gaap,gaap,measures,gaap financial,financial measures,gaap measures,reconciliation,measures reconciliation,financial measure,non,comparable,measures section",23,Social
169_related impact_relief_related pandemic_relief funds,"related impact,relief,related pandemic,relief funds,resident,resident relief,directly related,safety,pandemic,pandemic related,associates,residents",23,Social
359_01_equality_4other_adtran,"01,equality,4other,adtran,23,20,12,,,,,",12,Social
366_group disability_disability life_disability_life business,"group disability,disability life,disability,life business,sale group,operating contribution,life,group,business unfavorable,impact sale,absence,decreased 2021",12,Social
399_tensions_ukraine_russia ukraine_conflict,"tensions,ukraine,russia ukraine,conflict,global,political,instability,escalating,escalating tensions,economic,security,sanctions",11,"Social,Governance"
434_fiber_broadband services_broadband_subscriber,"fiber,broadband services,broadband,subscriber,5g,wireless,service delivery,home,platforms,contribute,connectivity,service",10,Social
439_capacity restrictions_theme park_theme_park,"capacity restrictions,theme park,theme,park,restrictions,capacity,operating capacity,second quarter,orlando,reopened,second,quarter 2021",10,Social
441_offices_employees_serve customers_protect health,"offices,employees,serve customers,protect health,work,remotely,safety employees,robust,safety,protect,health safety,actions",10,Social
453_significant accounting_accounting policies_policies_describes significant,"significant accounting,accounting policies,policies,describes significant,summary significant,describes,summary,policies methods,methods used,used preparation,note summary,policies consolidated",9,Social
489_communities_reposition_redevelopment_community,"communities,reposition,redevelopment,community,apartment communities,bring world,communities future,changing needs,communities communities,flood,world closer,multifamily apartment",8,Social
492_significant accounting_summary significant_accounting policies_summary,"significant accounting,summary significant,accounting policies,summary,statements included,policies,included partii,partii item8,partii,note1 summary,note1,policies notes",8,Social
495_realignment costs_realignment_integration_2020 realignment,"realignment costs,realignment,integration,2020 realignment,costs0,sales included,share0,costs discussed,company recorded,2020 cost,composed,transaction related",8,Social
527_pay customers_offer_pay_platform customer,"pay customers,offer,pay,platform customer,minutes,free paying,time pay,variety plans,centric,configurations,features functionality,language",7,Social
