Name,Representation,Count,ESG_Categories
3_covid 19_covid_pandemic_19,"covid 19,covid,pandemic,19,19 pandemic,outbreak,health,impact covid,response,spread,global,restrictions",166,Social
15_intellectual_intellectual property_property rights_rights,"intellectual,intellectual property,property rights,rights,property,protect,patents,trademarks,patent,proprietary,open source,source",78,Social
25_regulations_laws_dealer_self driving,"regulations,laws,dealer,self driving,emissions,vehicles,state,states,driving,laws regulations,self,safety",62,"Environmental,Social,Governance"
27_monitoring_log_log management_application,"monitoring,log,log management,application,infrastructure monitoring,user experience,apm,logs,real time,network performance,infrastructure,user",61,"Environmental,Social,Governance"
29_non gaap_gaap_gaap financial_measures,"non gaap,gaap,gaap financial,measures,financial measures,non,gaap measures,reconciliation,measure,financial measure,investors,supplemental",60,Social
38_critical_accounting policies_critical accounting_policies,"critical,accounting policies,critical accounting,policies,accounting,policies estimates,judgments,estimates,accounting estimates,subjective,understanding,believe following",51,"Environmental,Social"
42_sufficient_sufficient meet_liquidity requirements_requirements,"sufficient,sufficient meet,liquidity requirements,requirements,meet,liquidity,capital,cash cash,needs,cash equivalents,months,equivalents",50,Social
102_significant accounting_accounting policies_summary significant_policies,"significant accounting,accounting policies,summary significant,policies,summary,note summary,accounting,policies notes,statements included,note description,policies consolidated,significant",32,"Environmental,Social"
113_unauthorized_unauthorized access_security_threats,"unauthorized,unauthorized access,security,threats,cyber,breach,customers data,data,attacks,security breaches,access,breaches",31,"Social,Governance"
117_capital expenditures_expenditures_construction_expenditures 2020,"capital expenditures,expenditures,construction,expenditures 2020,capital,firstnet,beijing,expenditures 2019,capital investment,vendor financing,considering,equipment",30,Social
143_sheet arrangements_balance sheet_sheet_balance,"sheet arrangements,balance sheet,sheet,balance,purpose,entities,arrangements,sheet arrangementsas,arrangementsas,relationships unconsolidated,finance special,structured finance",26,Social
175_consolidated vies_sheet financing_likely materially_involvement,"consolidated vies,sheet financing,likely materially,involvement,requirements capital,significant financing,affect liquidity,spring mobile,arrangements,spring,reasonably likely,unconsolidated entities",22,Social
181_retain_attract_key employees_attract retain,"retain,attract,key employees,attract retain,personnel,culture,harmed,hire,employees,unable attract,fail,qualified personnel",22,Social
183_services_printing_services support_support services,"services,printing,services support,support services,training,services include,implementation,solutions,network,enterprises,services services,forensic",22,"Environmental,Social,Governance"
230_fsd_self driving_driving_autopilot,"fsd,self driving,driving,autopilot,drivers,safety,driver,self,autopilot fsd,powerful,control,vehicles",18,Social
315_integration_private cloud_integration costs_location bandwidth,"integration,private cloud,integration costs,location bandwidth,associated companys,companys acquisition,charges0,certain transaction,bandwidth expenses,transaction including,expenses free,represent certain",13,Social
317_sales team_team_marketing_marketing sales,"sales team,team,marketing,marketing sales,prospective customers,community,prospective,sales teams,inside,field sales,leads,teams",13,Social
321_employees_groups_employees december31_403,"employees,groups,employees december31,403,workers,workforce,resource,community,employee,located,000 employees,tesla 48",13,Social
426_item business_business overview_health services_pharmacy,"item business,business overview,health services,pharmacy,health,services segment,overview,related technologies,description segments,imaging,services various,specialty pharmacy",10,Social
432_headcount_contributed increase_headcount increased_recent acquisitions,"headcount,contributed increase,headcount increased,recent acquisitions,increase headcount,contributed,executives,hiring,recent,30 percent,2019 added,2019 order",9,Social
438_balance sheets_sheets_consolidated balance_payable current,"balance sheets,sheets,consolidated balance,payable current,recognition revenues,accrued,balance,accrued expenses,accompanying consolidated,accompanying,content liability,included related",9,Social
504_proprietary information_secrets_trade secrets_assurance given,"proprietary information,secrets,trade secrets,assurance given,know,proprietary,agreements,rights,trade,entered agreements,adequate protection,access proprietary",7,Social
509_communities_redevelopment_multifamily_construction,"communities,redevelopment,multifamily,construction,apartment,community,ownership management,management development,development pipeline,construction development,communities redevelopment,development redevelopment",7,Social
