Name,Representation,Count,ESG_Categories
4_repurchase_repurchase program_repurchased_share repurchase,"repurchase,repurchase program,repurchased,share repurchase,repurchases,program,common stock,authorized,stock repurchase,shares,board directors,common",141,Governance
25_regulations_laws_dealer_self driving,"regulations,laws,dealer,self driving,emissions,vehicles,state,states,driving,laws regulations,self,safety",62,"Environmental,Social,Governance"
27_monitoring_log_log management_application,"monitoring,log,log management,application,infrastructure monitoring,user experience,apm,logs,real time,network performance,infrastructure,user",61,"Environmental,Social,Governance"
32_reporting unit_reporting_carrying_value reporting,"reporting unit,reporting,carrying,value reporting,qualitative,reporting units,unit,carrying value,likely fair,qualitative assessment,fair,values",57,Governance
60_court_circuit_supreme_appeals,"court,circuit,supreme,appeals,supreme court,district,decision,district court,court appeals,appealed,ninth circuit,ninth",41,Governance
69_privacy_gdpr_regulation_confidentiality,"privacy,gdpr,regulation,confidentiality,personal,personal information,personally,personally identifiable,eprivacy,data protection,protection,data",37,Governance
79_covenants_compliance covenants_financial covenants_compliance,"covenants,compliance covenants,financial covenants,compliance,covenant,including financial,compliant,ratio,financial covenant,compliance financial,2019 compliance,covenants credit",35,Governance
80_distinct_performance obligations_multiple performance_multiple,"distinct,performance obligations,multiple performance,multiple,contract,readily available,identified,distinct performance,substance,contracts multiple,performance,obligations",35,"Environmental,Governance"
97_risk factors_item 1a_1a_risk,"risk factors,item 1a,1a,risk,factors,risks,1a risk,factors discussion,risks uncertainties,1a form,item,regarding risks",33,"Environmental,Governance"
113_unauthorized_unauthorized access_security_threats,"unauthorized,unauthorized access,security,threats,cyber,breach,customers data,data,attacks,security breaches,access,breaches",31,"Social,Governance"
129_mutual_wealth_proxy_wealth management,"mutual,wealth,proxy,wealth management,solutions,mutual funds,mutual fund,communications,shareholder,managers,advisors,processing",27,"Environmental,Governance"
138_suspension_criminal_sanctions_suspension debarment,"suspension,criminal,sanctions,suspension debarment,debarment,civil,penalties,fines,civil criminal,fines penalties,monetary,administrative civil",26,Governance
141_dividend_declared_declared quarterly_cash dividend,"dividend,declared,declared quarterly,cash dividend,quarterly cash,quarterly,quarterly dividend,board,cash dividends,dividends,2020 declared,board directors",26,Governance
158_assurance_outcome matters_outcome_assurance given,"assurance,outcome matters,outcome,assurance given,final tax,tax outcome,reserved,final,adequately,assurance final,reflected historical,matters materially",24,Governance
168_board_dividends_board directors_directors,"board,dividends,board directors,directors,dividend,future dividends,approval board,discretion,determination,declaration,payment dates,establishment",23,Governance
183_services_printing_services support_support services,"services,printing,services support,support services,training,services include,implementation,solutions,network,enterprises,services services,forensic",22,"Environmental,Social,Governance"
186_suspended_discontinued time_repurchase program_discontinued,"suspended,discontinued time,repurchase program,discontinued,repurchase,require company,number shares,acquire,does,program,suspended discontinued,obligate",22,Governance
210_129 item_compensation benefits_compensation_86,"129 item,compensation benefits,compensation,86,129,item,related compensation,performance related,beneficial owners,11 executive,10 directors,certain relationships",20,Governance
