Topic,Count,Name,Representation,Representative_Docs
-1,1456,-1_costs_operations_oil_future,"['costs', 'operations', 'oil', 'future', 'gas', 'result', 'time', 'prices', 'production', 'results', 'natural', 'regulations']","['Activism may continue to increase regardless of whether the Biden administration in the US. is perceived to be following, or actually follows, through on President Bidens campaign commitments to promote decreased fossil fuel exploration and production in the US., including as a result of President Bidens environmental and climate change executive orders described later in this 10-K in the risk factor titled Our business, operations and financial condition may be directly and indirectly adversely affected by political, economic and environmental circumstances, and changes in laws and regulations, in the countries and regions in which we operate.', 'The successful acquisition of producing properties requires an assessment of several factors, including: recoverable reserves; future crude oil and natural gas prices and their appropriate differentials; development and operating costs; potential for future drilling and production; validity of the sellers title to the properties, which may be less than expected at the time of signing the purchase agreement; andpotential environmental and other liabilities, together with associated litigation of such matters.', 'For example, the operations of our midstream service providers, on whom we rely for the transmission, gathering and processing of a significant portion of our produced oil, natural gas and NGLs, may be disrupted or suspended in response to containing outbreaks, and/or the economic challenges may lead to a reduction in capacity or closing of the facilities and infrastructure of our midstream service providers, which may result in substantial discounts in the prices we receive for our produced oil, natural gas or NGLs or result in the shut-in of producing wells or the delay or discontinuance of development plans for our properties.']"
0,151,0_covid_covid 19_19_pandemic,"['covid', 'covid 19', '19', 'pandemic', '19 pandemic', 'virus', 'spread', 'global', 'duration', 'variants', 'outbreak', 'demand']","['Our Business Has Been Adversely Impacted by the COVID-19 Pandemic, and We May Experience Continuing or Worsening Adverse Effects From This or Other Pandemics The COVID-19 pandemic and related economic repercussions have created significant volatility, uncertainty and turmoil in the oil and gas industry.', 'Risks Related to the COVID-19 PandemicThe Coronavirus Disease 2019 (COVID-19) pandemic resulted in a significant decrease in demand for many of our products and has had and could continue to have a material adverse effect on our business.', 'COVID-19.']"
1,92,1_cyber_information_data_systems,"['cyber', 'information', 'data', 'systems', 'attacks', 'unauthorized', 'attack', 'corruption', 'unauthorized access', 'cyber attack', 'cybersecurity', 'security']","['In particular, cyber-security attacks are evolving and include, but are not limited to, malicious software, attempts to gain unauthorized access to data, and other electronic security breaches that could lead to disruptions in critical systems, unauthorized release of confidential or otherwise protected information and corruption of data.', 'Cyber-attacks are becoming more sophisticated and include, but are not limited to, malicious software, phishing, ransomware, attempts to gain unauthorized access to data and other electronic security breaches that could lead to disruptions in critical systems, unauthorized release of confidential or otherwise protected information and corruption of data.', 'A cyber attack involving our information or industrial control systems and related infrastructure, or that of our business associates, could negatively impact our operations in a variety of ways, including, but not limited to, the following: Unauthorized access to seismic data, reserves information, strategic information or other sensitive or proprietary information could have a negative impact on our ability to compete for oil and natural gas resources; Data corruption, communication or systems interruption or other operational disruption during drilling activities could result in delays and failure to reach the intended target or cause a drilling incident; Data corruption, communication or systems interruption or operational disruptions of production-related infrastructure could result in a loss of production or accidental discharge; A cyber attack on our chemical operations could result in a disruption of the manufacturing and marketing of our products or a potential environmental hazard; A cyber attack on a vendor or service provider could result in supply chain disruptions, which could delay or halt our construction and development projects; A cyber attack on third-party gathering, pipeline, processing, terminal or other infrastructure systems could delay or prevent us from producing, transporting, processing and marketing our production; A cyber attack involving commodities exchanges or financial institutions could slow or halt commodities trading, thus preventing us from marketing our production or engaging in hedging activities; A cyber attack that halts activities at a power generation facility or refinery using natural gas as feedstock could have a significant impact on the natural gas market; A cyber attack on a communications network or power grid could cause operational disruption; A cyber attack on our automated and surveillance systems could cause a loss in production and potential environmental hazards; A deliberate corruption of our financial or operating data could result in events of non-compliance which could then lead to regulatory fines or penalties; andA cyber attack resulting in the loss or disclosure of, or damage to, our or any of our customers or suppliers data or confidential information could harm our business by damaging our reputation, subjecting us to potential financial or legal liability and requiring us to incur significant costs, including costs to repair or restore our systems and data or to take other remedial steps.']"
2,78,2_insurance_coverage_insurance coverage_losses,"['insurance', 'coverage', 'insurance coverage', 'losses', 'risks', 'maintain', 'believe', 'cover', 'fully', 'insured', 'available insurance', 'available']","['We may elect not to obtain insurance if we believe that the cost of available insurance is excessive relative to the risks presented.', 'In addition, pollution and environmental risks generally are not fully insurable, and we may elect not to obtain insurance for any or all of these risks if we believe that the cost of available insurance is excessive relative to the risks presented.', 'Further, we may elect not to obtain insurance coverage under circumstances where we believe that the cost of available insurance is excessive relative to the risks to which we are subject.']"
3,75,3_weather_hurricanes_severe_extreme,"['weather', 'hurricanes', 'severe', 'extreme', 'physical', 'weather events', 'storms', 'severe weather', 'climate', 'events', 'extreme weather', 'weather conditions']","['Potential physical risks resulting from climate change may be event driven (including increased severity of extreme weather events, such as hurricanes, droughts, or floods) or may be driven by longer-term shifts in climate patterns that may cause sea level rise or chronic heat waves.', 'In addition, climate change could result in an increase in the frequency and severity of tropical storms, hurricanes or other extreme weather events.', 'Physical climate change effects can include extreme variability in weather patterns such as increased frequency and severity of significant weather events (e. g. flooding, hurricanes and tropical storms), natural hazards (e. g. , increased wildfire risk), rising mean temperature and sea levels, and long-term changes in precipitation patterns (e. g. drought, desertification, or poor water quality).']"
4,64,4_material adverse_adverse effect_material_effect business,"['material adverse', 'adverse effect', 'material', 'effect business', 'effect', 'results operations', 'adverse', 'financial condition', 'condition', 'results', 'business financial', 'condition results']","['Such changes in interpretation could have a material adverse effect on our business, financial condition, results of operations and cash flows.', 'Any of these consequences could have a material and adverse effect on our business, financial position and results of operations.', 'Any of these consequences could have a material adverse effect on our business, financial condition and results of operations.']"
5,62,5_covenants_facility_governing_senior,"['covenants', 'facility', 'governing', 'senior', 'notes', 'credit facility', 'credit', 'indentures', 'revolving credit', 'revolving', 'governing senior', 'indentures governing']","['Our commercial debt facility, revolving credit facility, the indentures governing our Senior Notes and our GoM Term Loan contain certain covenants that may inhibit our ability to make certain investments, incur additional indebtedness and engage in certain other transactions, which could adversely affect our ability to meet our future goals.', 'Our revolving credit facility and the indentures governing our senior unsecured notes contain operating and financial restrictions that may restrict our business and financing activities.', 'Our commercial debt facility, revolving credit facility, the indentures governing our Senior Notes and our GoM Term Loan include certain covenants that, among other things, restrict: our investments, loans and advances and certain of our subsidiaries payment of dividends and other restricted payments; our incurrence of additional indebtedness; the granting of liens, other than liens created pursuant to the commercial debt facility, revolving credit facility, the indentures governing our Senior Notes or the GoM Term Loan and certain permitted liens; mergers, consolidations and sales of all or a substantial part of our business or licenses; the hedging, forward sale or swap of our production of crude oil or natural gas or other commodities; the sale of assets (other than production sold in the ordinary course of business); andin the case of the commercial debt facility, the revolving credit facility and the GoM Term Loan, our capital expenditures that we can fund with the proceeds of our commercial debt facility, revolving credit facility and GoM Term Loan.']"
6,59,6_stock_common stock_common_price common,"['stock', 'common stock', 'common', 'price common', 'price', 'market price', 'market', 'trading', 'fluctuate', 'stock price', 'analysts', 'stock market']","['Risks Relating to Our Common Stock The price of our common stock is volatile and may fluctuate substantially in the future.', 'These sales of our common stock (or the perception that these sales may occur) could have the effect of depressing the market price for our common stock.', 'The market price of our common stock could decline as a result of sales of a large number of shares of our common stock in the market, including shares of equity or debt securities convertible into common stock, and the perception that these sales could occur may also depress the market price of our common stock.']"
7,43,7_credit risk_derivative_counterparties_risk,"['credit risk', 'derivative', 'counterparties', 'risk', 'expose', 'risk financial', 'receivables', 'expose risk', 'financial loss', 'counterparty', 'derivative instrument', 'arrangements expose']","['Derivative instruments also expose us to the risk of financial loss in some circumstances, including when: production is less than the volume covered by the commodity derivative instruments; the counter-party to the commodity derivative instrument defaults on its contractual obligations; there is an increase in the differential between the underlying price in the derivative instrument and actual prices received; orthere are issues with regard to legal enforceability of such instruments.', 'Derivative arrangements also expose us to the risk of financial loss in some circumstances, including when: production is less than the volume covered by the derivative instruments; the counterparty to the derivative instrument defaults on its contract obligations; orthere is an increase in the differential between the underlying price in the derivative instrument and actual price received.', 'Derivative arrangements also expose us to the risk of financial loss in some circumstances, including when: production is less than the volume covered by the derivative instruments; the counterparty to the derivative instrument defaults on its contract obligations; orthere is an increase in the differential between the underlying price and actual prices received in the derivative instrument.']"
8,41,8_stockholders_provisions_amended restated_restated,"['stockholders', 'provisions', 'amended restated', 'restated', 'preferred stock', 'preferred', 'change control', 'certificate', 'stock', 'bylaws', 'amended', 'board']","['In addition, some provisions of our amended and restated certificate of incorporation and amended and restated bylaws could make it more difficult for a third party to acquire control of us, even if the change of control would be beneficial to our stockholders, including: limitations on the ability of our stockholders to call special meetings; a separate vote of 75% of the voting power of the outstanding shares of capital stock in order for stockholders to amend the bylaws in certain circumstances; our board of directors is divided into three classes with each class serving staggered three-year terms; stockholders do not have the right to take any action by written consent; andadvance notice provisions for stockholder proposals and nominations for elections to the board of directors to be acted upon at meetings of stockholders.', 'Our amended and restated certificate of incorporation authorizes our board of directors to issue preferred stock without any further vote or action by the stockholders.', 'In addition, some provisions of our amended and restated certificate of incorporation and amended and restated bylaws could make it more difficult for a third party to acquire control of us, even if the change of control would be beneficial to our stockholders, including: advance notice provisions for stockholder proposals and nominations for elections to the Board of Directors to be acted upon at meetings of stockholders; andlimitations on the ability of our stockholders to call special meetings.']"
