Topic,Count,Name,Representation,Representative_Docs
-1,1579,-1_costs_operations_ability_oil,"['costs', 'operations', 'ability', 'oil', 'gas', 'affect', 'financial', 'adversely', 'result', 'prices', 'business', 'natural']","['Moreover, it is possible that other developments, such as increasingly strict environmental, climate change, health and safety laws, regulations and executive orders and enforcement policies thereunder and claims for damages to property or persons resulting from our operations, could result in substantial costs and liabilities, delays, an inability to complete the development of our discoveries or the abandonment of such discoveries, which could cause a material adverse effect on our financial condition and results of operations.', 'The current significant oil and gas industry downturn has resulted in reduced demand for oilfield services and lower expenditures by our customers, which has had, and may continue to have, a material adverse effect on our financial condition, results of operations and cash flows.', ""Accordingly, we are subject to the business risks of EQM, including the following: federal, state and local regulatory, political and legal actions that could adversely affect EQM's operations, assets and infrastructure, including potential further delays associated with obtaining regulatory approval for the construction of the Mountain Valley Pipeline and the MVP Southgate project; construction risks associated with the construction or repair of EQM's pipelines and other midstream infrastructure, such as delays caused by landowners or advocacy groups opposed to the natural gas industry, environmental hazards, adverse weather conditions, the performance of third-party contractors, the lack of available skilled labor, equipment and materials and the inability to obtain necessary rights-of-way or approvals and permits from regulatory agencies on a timely basis or at all (and maintain such rights-of-way, approvals and permits once obtained); acts of cybersecurity, sabotage or terrorism that could cause significant damage or injury to EQM's personnel, assets or infrastructure or lead to extended interruptions ofEQM'soperations; risks associated with EQM failing to properly balance supply and demand for its services, on a short-term, seasonal and long-term basis, which could result in EQM being unable to provide its customers, including us, with sufficient access to pipeline and other midstream infrastructure and water services as needed; andrisks associated with EQM's leverage and financial profile, which could result in EQM being financially deterred or prohibited from providing services to its customers, including us, on a timely basis or at all.""]"
0,173,0_covid_covid 19_19_pandemic,"['covid', 'covid 19', '19', 'pandemic', '19 pandemic', 'spread', 'duration', 'global', 'travel', 'virus', 'outbreak', 'measures']","['While we did not experience any material adverse effects from the COVID-19 pandemic in 2020, the severity, magnitude and duration of the COVID-19 pandemic is still uncertain, rapidly changing and difficult to predict.', 'If the COVID-19 coronavirus continues to spread or the response to contain the COVID-19 pandemic is unsuccessful, we could continue to experience a material adverse effect on our business, financial condition and results of operations.', 'Risks Related to the COVID-19 Pandemic.']"
1,112,1_cyber_information_data_systems,"['cyber', 'information', 'data', 'systems', 'attacks', 'security', 'cybersecurity', 'disruptions', 'unauthorized', 'threats', 'attack', 'unauthorized access']","['In particular, cyber-security attacks are evolving and include, but are not limited to, malicious software, attempts to gain unauthorized access to data, and other electronic security breaches that could lead to disruptions in critical systems, unauthorized release of confidential or otherwise protected information and corruption of data.', 'Cyber-attacks are becoming more sophisticated and include, but are not limited to, malicious software, phishing, ransomware, attempts to gain unauthorized access to data, and other electronic security breaches that could lead to disruptions in critical systems, unauthorized release of confidential or otherwise protected information and corruption of data.', 'A cyber attack involving our information or industrial control systems and related infrastructure, or that of our business associates, could negatively impact our operations in a variety of ways, including but not limited to, the following: Unauthorized access to seismic data, reserves information, strategic information, or other sensitive or proprietary information could have a negative impact on our ability to compete for oil and natural gas resources; Data corruption, communication or systems interruption or other operational disruption during drilling activities could result in delays and failure to reach the intended target or cause a drilling incident; Data corruption, communication or systems interruption or operational disruptions of production-related infrastructure could result in a loss of production or accidental discharge; A cyber attack on our chemical operations could result in a disruption of the manufacturing and marketing of our products or a potential environmental hazard; A cyber attack on a vendor or service provider could result in supply chain disruptions, which could delay or halt our construction and development projects; A cyber attack on third-party gathering, pipeline, processing, terminal or other infrastructure systems could delay or prevent us from transporting, processing and marketing our production; A cyber attack involving commodities exchanges or financial institutions could slow or halt commodities trading, thus preventing us from marketing our production or engaging in hedging activities; A cyber attack that halts activities at a power generation facility or refinery using natural gas as feedstock could have a significant impact on the natural gas market; A cyber attack on a communications network or power grid could cause operational disruption; A cyber attack on our automated and surveillance systems could cause a loss in production and potential environmental hazards; A deliberate corruption of our financial or operating data could result in events of non-compliance which could then lead to regulatory fines or penalties; andA cyber attack resulting in the loss or disclosure of, or damage to, our or any of our customers or suppliers data or confidential information could harm our business by damaging our reputation, subjecting us to potential financial or legal liability and requiring us to incur significant costs, including costs to repair or restore our systems and data or to take other remedial steps.']"
2,90,2_prices_lower_commodity prices_commodity,"['prices', 'lower', 'commodity prices', 'commodity', 'low', 'gas prices', 'lower oil', 'crude oil', 'natural gas', 'crude', 'oil', 'natural']","['See Risks Related to our Financial ConditionAn increase in the differential between the NYMEX or other benchmark prices of oil and natural gas and the wellhead price we receive for our production could adversely affect our business, financial condition, results of operations and cash flows.', 'An increase in the differential between the NYMEX or other benchmark prices of oil and natural gas and the wellhead price we receive for our production could adversely affect our business, financial condition, results of operations and cash flows.', 'Prolonged or substantial decline, or sustained market uncertainty, in these commodity prices may have the following effects on Occidentals business: Adversely affect Occidentals financial condition, liquidity, ability to reduce debt, pay dividends and finance planned capital expenditures, ability to repurchase shares and results of operations; Reduce the amount of oil, NGL and natural gas that Occidental can produce economically; Cause Occidental to delay or postpone some of its capital projects; Reduce Occidentals revenues, operating income or cash flows; Reduce the amounts of Occidentals estimated proved oil, NGL and natural gas reserves; Reduce the carrying value of Occidentals oil and natural gas properties due to recognizing impairments of proved properties, unproved properties and exploration assets; Reduce the standardized measure of discounted future net cash flows relating to oil, NGL and natural gas reserves; Limit Occidentals access to, or increase the cost of, sources of capital such as equity and long-term debt; andAdversely affect the ability of Occidentals partners to fund their working interest capital requirements.']"
3,82,3_control_limited_influence_prospect,"['control', 'limited', 'influence', 'prospect', 'operator', 'reserves', 'properties', 'discoveries', 'able', 'undeveloped', 'activities properties', 'able develop']","['We have limited influence and control over the operation or future development of such properties, including compliance with environmental, health and safety regulations or the amount and timing of required future capital expenditures.', 'As a result, we have limited ability to influence or control the operation or future development of such properties, including the nature and timing of drilling and operational activities, the operators skill and expertise, compliance with environmental, safety and other regulations, the approval of other participants in such properties, the selection and application of suitable technology, or the amount of expenditures that we will be required to fund with respect to such properties.', 'We have limited ability to influence or control the operation or future development of these non-operated properties, including compliance with environmental, safety and other regulations, or the amount of capital expenditures that we are required to fund with respect to them.']"
4,73,4_insurance_coverage_insurance coverage_losses,"['insurance', 'coverage', 'insurance coverage', 'losses', 'maintain', 'insured', 'cover', 'insurance policies', 'adequate', 'risks', 'reasonable', 'covered']","['As a result, we may not be able to obtain the levels or types of insurance we would have otherwise obtained prior to these market changes, and the insurance coverage we do obtain may not cover certain hazards or all potential losses that are currently covered, and may be subject to large deductibles.', 'We do not believe that full insurance coverage for all potential damages is available at a reasonable cost.', 'Certain litigation claims may not be covered under our insurance policies, or our insurance carriers may seek to deny coverage.']"
5,72,5_personnel_technical_retain_technical personnel,"['personnel', 'technical', 'retain', 'technical personnel', 'attract', 'key personnel', 'key', 'management technical', 'management', 'success', 'attract retain', 'board']","['Our success depends, to a large extent, on our ability to retain our key personnel, including our chairman and chief executive officer, management and technical team, the members of our Board and our special Board advisors, and the loss of any key personnel, Board member or special Board advisor could disrupt our business operations.', 'If we cannot retain our technical personnel or attract additional experienced technical personnel and professionals, our ability to compete could be harmed.', 'The loss of senior management or technical personnel and the failure to attract, train and retain qualified personnel could adversely affect our operations.']"
6,67,6_material adverse_adverse effect_effect business_material,"['material adverse', 'adverse effect', 'effect business', 'material', 'results operations', 'effect', 'adverse', 'results', 'financial condition', 'condition', 'business financial', 'financial']","['Any of these consequences could have a material and adverse effect on our business, financial position and results of operations.', 'The occurrence of one or more of these developments could have a material adverse effect on our business, financial condition, results of operations and cash flows.', 'Any of these consequences could have a material adverse effect on our business, financial condition and results of operations.']"
7,59,7_executive order_executive_order_biden,"['executive order', 'executive', 'order', 'biden', 'january', 'administration', '2021', 'lands', 'interior', 'issued', 'president', 'biden administration']","['President Biden issued another executive order on January 27, 2021, which, among other things, halts indefinitely new oil and natural gas leases on federal lands and offshore waters pending completion of a review by the Secretary of the Interior of federal oil and gas permitting and leasing practices in light of the administrations concerns regarding the impact of these activities on the environment and climate.', 'Also in January 2021, the Biden administration issued certain executive orders focused on addressing climate change, which, among other things, revoked the permit for the Keystone XL oil pipeline and directed the Secretary of the Interior to pause new oil and natural gas leases on public lands or in offshore waters pending completion of a comprehensive review and reconsideration of federal oil and gas permitting and leasing practices.', 'Also in January 2021, the Biden administration issued certain executive orders focused on addressing climate change, which, among other things, revoked the permit for the Keystone XL oil pipeline and directed the Secretary of the Interior to pause new oil and natural gas leases on public lands or in offshore waters pending completion of a comprehensive review and reconsideration of federal oil and gas permitting and leasing practices.']"
8,56,8_covenants_facility_governing_senior,"['covenants', 'facility', 'governing', 'senior', 'credit facility', 'notes', 'credit', 'indenture', 'governing senior', 'debt', 'senior notes', 'indenture governing']","['In addition, the limitations imposed by the commercial debt facility, the revolving credit facility, the indenture governing the Senior Notes and GoM Term Loan on our ability to incur additional debt and to take other actions might significantly impair our ability to obtain other financing.', 'The breach of any of these covenants could result in a default under our commercial debt facility, revolving credit facility, indenture governing the Senior Notes and GoM Term Loan, in which case, depending on the actions taken by the lenders thereunder or their successors or assignees, such lenders could elect to declare all amounts borrowed under our commercial debt facility, revolving credit facility, indenture governing the Senior Notes and GoM Term Loan, together with accrued interest, to be due and payable.', 'Our commercial debt facility, revolving credit facility, indenture governing the Senior Notes and GoM Term Loan include certain covenants that, among other things, restrict: our investments, loans and advances and certain of our subsidiaries payment of dividends and other restricted payments; our incurrence of additional indebtedness; the granting of liens, other than liens created pursuant to the commercial debt facility, revolving credit facility, the indenture governing the Senior Notes or the GoM Term Loan and certain permitted liens; mergers, consolidations and sales of all or a substantial part of our business or licenses; the hedging, forward sale or swap of our production of crude oil or natural gas or other commodities; the sale of assets (other than production sold in the ordinary course of business); andin the case of the commercial debt facility, the revolving credit facility and the GoM Term Loan, our capital expenditures that we can fund with the proceeds of our commercial debt facility, revolving credit facility and GoM Term Loan.']"
