Name,Representation,Count,ESG_Categories
0_security_attacks_information_unauthorized,"security,attacks,information,unauthorized,breaches,data,systems,cyber,access,unauthorized access,breach,confidential",451,"Social,Governance"
12_safety_laws_regulations_state local,"safety,laws,regulations,state local,laws regulations,health safety,various federal,import export,federal,local foreign,federal state,govern",87,"Social,Governance"
14_intellectual_intellectual property_property_protect,"intellectual,intellectual property,property,protect,rights,protect intellectual,property rights,related intellectual,proprietary,adequately,adequately protect,risks related",80,Social
17_intellectual property_intellectual_infringe_property,"intellectual property,intellectual,infringe,property,infringement,property rights,rights,infringe intellectual,claim,parties,rights parties,property infringement",71,Social
19_party_rely_parties_service providers,"party,rely,parties,service providers,rely party,providers,party software,parties including,support,party service,functions,rely parties",70,Social
31_countries_foreign countries_property protection_intellectual property,"countries,foreign countries,property protection,intellectual property,intellectual,property,rights extent,rights,property rights,protection,united states,laws united",60,"Social,Governance"
32_shortages_supply_component_components,"shortages,supply,component,components,capacity,shortage,component shortages,constraints,component supply,manufacturing capacity,times,suppliers",59,Social
48_conflicts_allocation_interests_conflicts arise,"conflicts,allocation,interests,conflicts arise,investment,potential conflicts,opportunity,investment opportunities,arise,investment opportunity,hand,acm",50,Social
75_brexit_eu_withdrawal_kingdom,"brexit,eu,withdrawal,kingdom,united kingdom,exit,european union,union,withdrawal eu,uncertainty,european,referendum",38,Social
80_information technology_systems_highly dependent_information systems,"information technology,systems,highly dependent,information systems,technology systems,rely,information,internal systems,business highly,technology,functions,critical business",35,Social
89_outage_outages_future experience_disruptions outages,"outage,outages,future experience,disruptions outages,experienced future,defects performance,infrastructure,network,internet,error,experienced,performance problems",33,"Environmental,Social"
90_financings_additional funds_additional capital_secure additional,"financings,additional funds,additional capital,secure additional,equity debt,debt financings,capital,existing cash,sufficient meet,equity,need,additional",32,Social
98_privacy shield_shield_transfer_personal data,"privacy shield,shield,transfer,personal data,european,transfers,eu,mechanisms,european union,union,union united,sccs",30,Social
121_policies procedures_agents_policies_procedures,"policies procedures,agents,policies,procedures,ensure compliance,procedures designed,assurance employees,ensure,compliance laws,actions violation,compliance,employees agents",27,"Social,Governance"
133_acquired_acquired company_acquisition_integrating,"acquired,acquired company,acquisition,integrating,acquisitions,procedures policies,controls procedures,acquired business,integration,procedures,liabilities,involve numerous",25,Social
135_dividends_dividends foreseeable_pay dividends_intend pay,"dividends,dividends foreseeable,pay dividends,intend pay,foreseeable future,foreseeable,dividends future,intend,cash dividends,pay,primarily business,declare",25,Social
144_intellectual property_intellectual_property_success,"intellectual property,intellectual,property,success,property rights,rights important,copyrights,trademarks trade,trade secrets,secrets,rights,trademarks",23,Social
158_goodwill_intangible_intangible assets_assets,"goodwill,intangible,intangible assets,assets,total assets,billion,balance sheet,sheet,balance,total,dimension,identifiable intangible",21,Social
191_regulation gdpr_protection regulation_gdpr_general data,"regulation gdpr,protection regulation,gdpr,general data,regulation,european,data protection,european union,union,protection,residents european,electronic communications",17,"Social,Governance"
197_infringing_infringing intellectual_licensors_sufficient rights,"infringing,infringing intellectual,licensors,sufficient rights,property rights,rights,certain licensors,property jurisdictions,rights licensed,intellectual property,intellectual,property",17,Social
200_trade receivables_term contracts_long term_capacity,"trade receivables,term contracts,long term,capacity,receivables,extension credit,offer broad,suite products,long,term,purchase,currently offer",17,Social
203_interruptions_websites_tolerance_problems associated,"interruptions,websites,tolerance,problems associated,interruptions performance,short period,related issues,commerce platform,unavailable,fulfilling orders,internet,time adversely",17,Social
211_pay model_dasher pay_pay_model,"pay model,dasher pay,pay,model,tips,dasher,dashers,promotions,similar claims,related dasher,led continue,continue lead",16,Social
226_high quality_maintain high_quality support_support,"high quality,maintain high,quality support,support,high,quality,customer support,support services,offer high,quality customer,failure maintain,support market",15,Social
253_determine validity_validity scope_litigation necessary_scope proprietary,"determine validity,validity scope,litigation necessary,scope proprietary,protect trade,rights protect,validity,enforce intellectual,property rights,enforce,rights,necessary future",14,Social
254_market share_loss market_services negatively_pressures,"market share,loss market,services negatively,pressures,share,pricing pressures,downward,fail attract,healthcare,negatively impact,consumption,reduced",14,Social
269_services related_high risk_contractors service_safety,"services related,high risk,contractors service,safety,business risks,industrial,high,safe,provide products,reviews,hazardous,employees contractors",13,Social
284_resolve issues_issues relating_customer support_resolve,"resolve issues,issues relating,customer support,resolve,support organization,customers depend,support,reputation ability,depends quality,maintain customer,products underlying,issues",12,Social
300_pressure_pricing_pricing pressure_downward pressure,"pressure,pricing,pricing pressure,downward pressure,pressures,intense,pricing pressures,downward,healthcare,decrease profitability,costs legal,continue drive",11,"Environmental,Social"
303_culture_company culture_culture grow_aspects culture,"culture,company culture,culture grow,aspects culture,effectively execute,strategy maintain,recruit personnel,position harmed,failure preserve,preserve culture,retain recruit,recruit",11,Social
308_network operators_operators_internet access_degrade,"network operators,operators,internet access,degrade,access,charge,impacted network,provided companies,network,negatively impacted,market power,based pricing",11,Social
312_collective_labor_collective bargaining_bargaining,"collective,labor,collective bargaining,bargaining,bargaining agreements,labor disputes,unions,extend renegotiate,agreements social,social plans,sports organizations,unionized",11,Social
