Name,Representation,Count,ESG_Categories
0_information_data_security_attacks,"information,data,security,attacks,cyber,breaches,systems,unauthorized,confidential,access,reputation,cyber attacks",208,"Social,Governance"
8_assurance_predict_assurance given_examinations,"assurance,predict,assurance given,examinations,conforming,examinations adverse,future,outcomes,given,financial condition,assure,condition",86,Governance
14_compliance_regulations_costs_incur,"compliance,regulations,costs,incur,comply,laws regulations,laws,substantial costs,incur substantial,new regulations,workforce,complying",74,"Social,Governance"
17_export_restrictions_entity list_list,"export,restrictions,entity list,list,encryption,export control,sanctions,governments,government,restrict,encryption technology,control economic",65,Governance
18_regulations_compliance_laws regulations_telecommunications,"regulations,compliance,laws regulations,telecommunications,changes,regulation,internet,businesses,laws,regulatory,legislation,regulatory changes",61,Governance
19_penalties_criminal_failure comply_civil,"penalties,criminal,failure comply,civil,sanctions,comply,fines,civil criminal,criminal penalties,regulations result,comply laws,regulations",59,Governance
31_litigation_attention_substantial costs_divert,"litigation,attention,substantial costs,divert,managements,divert managements,result substantial,managements attention,defend,diversion,litigation result,attention resources",43,Governance
33_disposal_laws regulations_state local_safety,"disposal,laws regulations,state local,safety,laws,hazardous,substances,federal,regulations,federal state,local foreign,state",40,"Social,Governance"
36_countries_intellectual property_intellectual_property protection,"countries,intellectual property,intellectual,property protection,property,foreign countries,protection,property rights,rights,united states,united,laws united",39,"Social,Governance"
37_internal_financial reporting_reporting_internal control,"internal,financial reporting,reporting,internal control,control financial,internal controls,effective internal,controls,maintain effective,weaknesses,material weaknesses,confidence",39,Governance
38_acquisitions_acquired_make acquisitions_companies products,"acquisitions,acquired,make acquisitions,companies products,broadcom,strategic,acquisition,strategy,strategic acquisitions,networks,businesses,complementary",38,Governance
40_fees_fee_management fees_arcc,"fees,fee,management fees,arcc,incentive,management,arccs,fund,paid,performance,earn,structure",38,"Environmental,Governance"
42_legal proceedings_claims_proceedings_various legal,"legal proceedings,claims,proceedings,various legal,litigation,lawsuits,matters,legal,ordinary,course business,proceedings claims,course",37,Governance
43_funds_performance_funds performance_investments,"funds,performance,funds performance,investments,fund,investments lower,investment,return investments,lower,investment returns,performance funds,returns",36,"Environmental,Governance"
49_litigation_resolution_legal proceedings_financial condition,"litigation,resolution,legal proceedings,financial condition,condition,proceedings,outcome,legal,investigations,unfavorable resolution,governmental investigations,monetary damages",34,Governance
50_interpretation_laws_laws rules_laws regulations,"interpretation,laws,laws rules,laws regulations,regulations,rules regulations,inconsistent,rules,governing bodies,interpretations,interpretation enforcement,bodies",34,Governance
52_assurance_able_new products_products able,"assurance,able,new products,products able,successfully,products enhancements,effectively,enhancements,products allow,successfully market,new,assurance able",33,Governance
58_data_data protection_protection_privacy,"data,data protection,protection,privacy,personal,personal information,laws regulations,information,related data,regulations,laws,data practices",30,Governance
63_minerals_disclosure_disclosure requirements_conflict minerals,"minerals,disclosure,disclosure requirements,conflict minerals,republic,conflict,mineral,disclosures,mined,sec,disclose,diligence",27,"Environmental,Social,Governance"
66_financing_acceptable_funding_terms,"financing,acceptable,funding,terms,assurance,financing available,additional financing,acceptable terms,terms acceptable,needed,debt,available",27,Governance
68_strain_expansion_expenses_resources,"strain,expansion,expenses,resources,operational,operating expenses,places significant,significant strain,growth,management,places,expanding",26,Governance
79_delaware_provisions_change control_prevent change,"delaware,provisions,change control,prevent change,takeover,bylaws,delay prevent,delaware law,incorporation bylaws,incorporation,law,interested",24,Governance
83_false accounts_duplicate_metrics_false,"false accounts,duplicate,metrics,false,accounts,estimates,user,age,methodologies,younger users,estimates change,location",23,Governance
95_firms_investigations_enforcement_secs,"firms,investigations,enforcement,secs,inquiries,recent,sec,alternative asset,conducting,brazilian,receive inquiries,enforcement actions",21,Governance
99_compensation_awards_equity_incentive,"compensation,awards,equity,incentive,based compensation,employees,retain,ability retain,based,compensation program,retain motivate,equity awards",21,Governance
100_frank_dodd frank_dodd_frank act,"frank,dodd frank,dodd,frank act,cftc,act,sec,council,cftc sec,authority,financial institutions,swaps",21,Governance
101_financial reporting_internal_internal control_controls,"financial reporting,internal,internal control,controls,control financial,reporting,internal controls,controls procedures,oxley,sarbanes,sarbanes oxley,oxley act",21,Governance
102_policies procedures_agents_policies_procedures,"policies procedures,agents,policies,procedures,compliance,violate,procedures designed,assurance employees,employees contractors,ensure compliance,designed ensure,ensure",21,"Social,Governance"
112_lengthy_cycle_decision_prospective,"lengthy,cycle,decision,prospective,end customers,long,considerable time,secure new,require considerable,decision purchase,typically,selling cycle",19,Governance
