Name,Representation,Count,ESG_Categories
3_regulations_safety_laws_substances,"regulations,safety,laws,substances,hazardous,laws regulations,federal,state local,health safety,regulation,federal state,disposal",146,"Social,Governance"
4_shortages_supply_manufacturing_components,"shortages,supply,manufacturing,components,delays,suppliers,capacity,component,production,equipment,component shortages,delayed",142,Social
19_infringement_intellectual property_intellectual_infringe,"infringement,intellectual property,intellectual,infringe,property,property rights,rights,claims,rights parties,infringe intellectual,parties,alleging",71,Social
30_countries_intellectual_intellectual property_property rights,"countries,intellectual,intellectual property,property rights,property,rights,enforce,property protection,foreign countries,laws united,rights extent,united states",55,Social
32_information_unauthorized_access_confidential,"information,unauthorized,access,confidential,data,identity,confidential information,access systems,stolen,personal,personal information,information data",49,Social
38_conflicts_allocation_investment_conflicts arise,"conflicts,allocation,investment,conflicts arise,investment opportunities,potential conflicts,opportunity,acm,arise,hand,funds,investment opportunity",44,Social
46_intend_resources_infrastructure_invest,"intend,resources,infrastructure,invest,product process,significant investments,process technology,make significant,support,growth,improve,investments",40,"Environmental,Social"
54_rights_protect intellectual_intellectual property_intellectual,"rights,protect intellectual,intellectual property,intellectual,protect,property,property rights,proprietary rights,assets diminished,proprietary,diminished,ip",37,Social
70_licenses_technology_alternative non_develop alternative,"licenses,technology,alternative non,develop alternative,license,effort expense,infringing technology,alternative,non infringing,party technology,technology practices,required develop",32,Social
73_acquired_acquisition_acquisitions_acquired company,"acquired,acquisition,acquisitions,acquired company,integrating,integration,acquired business,procedures policies,controls procedures,businesses acquire,risks,acquire",31,Social
80_dividends_cash dividends_foreseeable future_pay dividends,"dividends,cash dividends,foreseeable future,pay dividends,foreseeable,dividends common,intend,paid,pay,declared paid,declared,dividends future",28,Social
88_policies procedures_agents_policies_compliance,"policies procedures,agents,policies,compliance,procedures,procedures designed,ensure compliance,employees contractors,assurance employees,violate,compliance laws,contractors",26,"Social,Governance"
106_additional capital_raise_capital_raise additional,"additional capital,raise,capital,raise additional,financing,additional,need,need raise,need additional,additional financing,expect need,debt",23,Social
109_ads_advertising_users_mobile,"ads,advertising,users,mobile,user,product changes,signals,marketers,target measure,ad,engagement,targeting",23,Social
118_data protection_personal_data_privacy,"data protection,personal,data,privacy,protection,personal information,legislation regulations,information,european union,union,european,protection regulation",22,"Social,Governance"
128_restructuring_restructurings_savings_restructuring plan,"restructuring,restructurings,savings,restructuring plan,savings benefits,cost savings,benefits,disruptive business,plan,workforce,expected benefits,benefits restructuring",20,Social
141_active user_engagement_active_user,"active user,engagement,active,user,user base,decline,users,user growth,user engagement,growth rate,retention,base",18,Social
151_collective_collective bargaining_bargaining_bargaining agreements,"collective,collective bargaining,bargaining,bargaining agreements,labor,agreements,unions,councils,labor disputes,disputes,work,extend renegotiate",17,Social
160_debit_cards_care_health,"debit,cards,care,health,health services,methods including,including credit,health care,payment methods,care providers,employ,methods",16,Social
163_intellectual property_intellectual_property_infringing,"intellectual property,intellectual,property,infringing,unauthorized use,property rights,independently develop,licensed patents,rights,infringing intellectual,independently,use intellectual",16,Social
166_success_intellectual property_intellectual_property,"success,intellectual property,intellectual,property,property rights,rights,rights important,proprietary intellectual,protecting intellectual,success depends,patent intellectual,depends",16,Social
169_consolidation_health care_care_hospitals,"consolidation,health care,care,hospitals,care industry,industry consolidation,health,physicians hospitals,industry,consolidation industry,physicians,hospitals health",16,Social
172_goodwill_intangible assets_intangible_balance sheet,"goodwill,intangible assets,intangible,balance sheet,balance,sheet,assets,acquisition date,identifiable,assets acquired,acquisition,billion",15,Social
