Name,Representation,Count,ESG_Categories
20_fees_management fees_fee_arcc,"fees,management fees,fee,arcc,fund,performance income,funds,earn,returns,performance,management,arcc fees",68,"Environmental,Governance"
35_pricing_prices products_prices_gross,"pricing,prices products,prices,gross,sales prices,margins,gross profits,pressures,benchmarks,improve gross,sales,reduce gross",47,"Environmental,Governance"
39_analysts_announcements_price_stock,"analysts,announcements,price,stock,trading,fluctuations,securities analysts,common,common stock,projections,actual anticipated,market",44,Environmental
46_intend_resources_infrastructure_invest,"intend,resources,infrastructure,invest,product process,significant investments,process technology,make significant,support,growth,improve,investments",40,"Environmental,Social"
48_mix_gross_timing_margins,"mix,gross,timing,margins,gross margins,changes,pricing,margin,fluctuations,gross margin,customers,geographic",39,Environmental
56_natural_earthquakes_disasters_catastrophic,"natural,earthquakes,disasters,catastrophic,weather,earthquake,natural disasters,flooding,catastrophic events,events,located areas,flood",37,Environmental
74_funds_value investments_investments_value,"funds,value investments,investments,value,funds adversely,performance,realize value,investment,funds performance,real estate,estate,performance funds",30,"Environmental,Governance"
77_tariffs_trade_impact tariffs_tariffs trade,"tariffs,trade,impact tariffs,tariffs trade,tariff,mitigate impact,additional tariffs,china,changes trade,tariffs imposed,impact,changes tariffs",30,Environmental
95_carryforwards_net operating_operating loss_loss carryforwards,"carryforwards,net operating,operating loss,loss carryforwards,net,taxable,attributes,tax attributes,ability use,offset,pre,expire",26,Environmental
98_disaster_disaster recovery_recovery_continuity,"disaster,disaster recovery,recovery,continuity,business continuity,plans,continuity plans,redundancy,event,recovery business,inadequate,planning",25,Environmental
115_liquidity_credit liquidity_investments_risk,"liquidity,credit liquidity,investments,risk,subject general,market risks,rate risks,credit,investments subject,inflation,market,risks",22,"Environmental,Governance"
132_tax authorities_tax returns_revenue service_internal revenue,"tax authorities,tax returns,revenue service,internal revenue,various jurisdictions,examination,examination income,returns,service tax,audits,authorities,income tax",19,Environmental
140_uranium_energy_project_nuclear,"uranium,energy,project,nuclear,mesa,white mesa,electricity,feed,uranium industry,white,uranium concentrates,concentrates",18,Environmental
155_publish_analysts_research reports_trading volume,"publish,analysts,research reports,trading volume,industry analysts,reports,research,inaccurate,trading,price trading,analysts cover,volume",16,Environmental
157_forum_delaware_directors officers_exclusive forum,"forum,delaware,directors officers,exclusive forum,officers employees,restated,court,asserting,amended restated,exclusive,officers,action",16,Environmental
174_time consuming_consuming_costly_alternate,"time consuming,consuming,costly,alternate,costly qualify,consuming difficult,alternate sources,sources components,manufacturer,switching,design,contract manufacturer",15,Environmental
181_counterparty_counterparty default_default_default risk,"counterparty,counterparty default,default,default risk,counterparties,risk counterparty,settling,ppp,risk,subject risk,defaults,contractual",15,"Environmental,Governance"
188_future performance_indication future_indication_rely past,"future performance,indication future,indication,rely past,relied,performance,past financial,comparisons,indicators,quarterly,rely,revenue revenue",14,"Environmental,Governance"
189_risk factors_1a risk_item 1a_1a,"risk factors,1a risk,item 1a,1a,risk,looking statements,item,forward looking,looking,contains forward,factors,forward",14,"Environmental,Governance"
