Name,Representation,Count,ESG_Categories
2_personnel_retain_key_qualified,"personnel,retain,key,qualified,hire,key employees,qualified personnel,employees,attract,retain qualified,culture,hiring",211,Social
22_intellectual_intellectual property_property_rights,"intellectual,intellectual property,property,rights,property rights,protect,protect intellectual,related intellectual,enforce,enforce intellectual,adequately,proprietary",67,Social
24_safety_laws_health safety_state local,"safety,laws,health safety,state local,laws regulations,disposal,regulations,govern,anti,substances,import export,hazardous",62,"Social,Governance"
30_shortages_shortage_component_lead times,"shortages,shortage,component,lead times,supply,times,lead,constraints,component shortages,components,capacity,semiconductor",55,Social
38_conflicts_allocation_investment_interests,"conflicts,allocation,investment,interests,investment opportunities,potential conflicts,conflicts arise,opportunity,arise,funds,investment opportunity,hand",51,Social
44_systems_information technology_technology systems_information systems,"systems,information technology,technology systems,information systems,highly dependent,internal systems,rely,functions,information,business highly,technology,retrieve",46,Social
45_countries_property protection_foreign countries_intellectual property,"countries,property protection,foreign countries,intellectual property,intellectual,property,rights,property rights,laws foreign,enforce,patents,protection",46,"Social,Governance"
54_growth rate_revenue growth_growth_active user,"growth rate,revenue growth,growth,active user,decline,engagement,active,decline time,user,revenue,rate,growth rates",42,Social
55_interruptions_interruption_service_unavailable,"interruptions,interruption,service,unavailable,websites,internet,fulfilling,systems,subject service,attractiveness products,tolerance,data integrity",42,Social
63_policies procedures_agents_policies_procedures,"policies procedures,agents,policies,procedures,ensure compliance,procedures designed,compliance,assurance employees,ensure,employees agents,violation policies,assurance",39,"Social,Governance"
69_receive premium_premium shares_premium_opportunity,"receive premium,premium shares,premium,opportunity,investors willing,price investors,limit opportunity,change control,concentrated control,willing pay,stock,receive",35,Social
89_support_resolve issues_support organization_critical,"support,resolve issues,support organization,critical,customer support,issues relating,ability attract,resolve,customer satisfaction,confidence,reputation ability,depends quality",30,Social
90_financings_additional capital_debt financings_equity debt,"financings,additional capital,debt financings,equity debt,equity,additional funds,secure additional,raise,need,capital,raise additional,equity financings",30,Social
105_working_remotely_offices_work,"working,remotely,offices,work,home,portion time,working remotely,workplace,remote,workforce,work remotely,employees",28,Social
120_future experience_infrastructure_experienced future_defects performance,"future experience,infrastructure,experienced future,defects performance,outages,performance problems,experience interruptions,network,errors,internet,problems,variety factors",26,"Environmental,Social"
123_high quality_maintain high_support_quality support,"high quality,maintain high,support,quality support,quality,high,offer high,channel partners,quality customer,support services,partners technology,customer support",25,Social
136_licenses_license_licenses rights_substitute technology,"licenses,license,licenses rights,substitute technology,license technology,cmos,obtain,reasonable terms,licensors,inability obtain,substitute,technology",23,Social
159_brexit_eu_european union_united kingdom,"brexit,eu,european union,united kingdom,kingdom,union,kingdom european,european,withdrawal,uncertainty,eu brexit,exit eu",20,Social
162_china taiwan_taiwan_mainland china_mainland,"china taiwan,taiwan,mainland china,mainland,china,ukraine,political,surrounding countries,russia ukraine,russia,military,conflict",20,"Social,Governance"
180_goodwill_intangible assets_intangible_total assets,"goodwill,intangible assets,intangible,total assets,assets,total,balance sheet,sheet,billion,balance,goodwill intangible,december31 2021",19,Social
186_future assert_property rights_time parties_assert,"future assert,property rights,time parties,assert,infringement,parties,assert claims,rights,intellectual property,intellectual,claims,property",18,Social
195_disclosures_business reputation_disclosure information_disclosure,"disclosures,business reputation,disclosure information,disclosure,transparency,blog,public disclosures,social media,result disclosure,transparency report,significantly adversely,required public",18,"Environmental,Social,Governance"
232_dashers_reclassified employees_reclassified_classification,"dashers,reclassified employees,reclassified,classification,independent contractors,dashers delivery,employees federal,platform independent,delivery service,state law,wage,independent",15,Social
236_integrating_coordinating_integration_process require,"integrating,coordinating,integration,process require,integration process,acquired,combined group,acquired businesses,resources able,process,combined,significant time",15,Social
238_pay model_dasher pay_pay_dasher,"pay model,dasher pay,pay,dasher,model,tips,dashers,similar claims,related dasher,continue lead,led continue,consumers",15,Social
243_collective_collective bargaining_labor_bargaining,"collective,collective bargaining,labor,bargaining,work stoppages,bargaining agreements,stoppages,unions,labor disputes,extend renegotiate,agreements social,social plans",15,Social
244_crowdstrike_certified_training_learning,"crowdstrike,certified,training,learning,skills,cybersecurity,certification,currently offers,certifications industry,courses,attraction retention,exam",14,"Social,Governance"
262_capital available_additional capital_raise additional_available acceptable,"capital available,additional capital,raise additional,available acceptable,capital support,raise,need raise,acceptable terms,additional funds,acceptable,growth business,capital",13,Social
263_determine validity_validity scope_validity_scope proprietary,"determine validity,validity scope,validity,scope proprietary,litigation necessary,property rights,protect trade,rights protect,rights,scope,enforce intellectual,enforce",13,Social
272_trade agreement_european union_2020_union,"trade agreement,european union,2020,union,eu,31 2020,january,agreement,reached,january 31,brexit,european",13,Social
274_restructuring_realign_restructure_restructuring plans,"restructuring,realign,restructure,restructuring plans,company make,make business,changes future,business changes,make changes,efficiencies,changes,workforce",13,Social
293_dividends foreseeable_intend pay_dividends_pay dividends,"dividends foreseeable,intend pay,dividends,pay dividends,foreseeable future,foreseeable,intend,future intend,cash dividends,pay,pay cash,stock intend",12,Social
295_network operators_operators_internet access_access,"network operators,operators,internet access,access,degrade,charge,network,greater operating,disrupt increase,provided companies,market power,degrade disrupt",12,Social
296_infringing intellectual_sufficient rights_licensors_infringing,"infringing intellectual,sufficient rights,licensors,infringing,rights licensed,certain licensors,property jurisdictions,property rights,rights,intellectual property,intellectual,technology infringing",12,Social
298_access_unauthorized_gain_unauthorized parties,"access,unauthorized,gain,unauthorized parties,gain access,stolen,future obtain,systems facilities,access systems,employees merchants,stolen identity,data unauthorized",12,Social
310_minerals_conflict minerals_disclosure requirements_mineral,"minerals,conflict minerals,disclosure requirements,mineral,conflict,1300,disclosure,mined,disclosure mineral,democratic,concerning disclosure,cautionary note",11,"Social,Governance"
345_countersuits_counterclaims_rights result_significant costs,"countersuits,counterclaims,rights result,significant costs,defenses,regardless merit,rights,intellectual property,intellectual,ip rights,property,property rights",10,Social
353_damages_redesign_royalties_partys,"damages,redesign,royalties,partys,substantial damages,pay substantial,including treble,treble,treble damages,redesign products,pay,infringed",9,Social
