Name,Representation,Count,ESG_Categories
0_information_data_security_attacks,"information,data,security,attacks,cyber,breaches,systems,unauthorized,confidential,access,reputation,cyber attacks",208,"Social,Governance"
1_patents_patent_rights_intellectual,"patents,patent,rights,intellectual,intellectual property,property,property rights,patent applications,protect,applications,pending,proprietary rights",163,Social
12_intellectual property_intellectual_property_infringe,"intellectual property,intellectual,property,infringe,property rights,infringement,rights,claims,parties,infringe intellectual,rights parties,claim",78,Social
14_compliance_regulations_costs_incur,"compliance,regulations,costs,incur,comply,laws regulations,laws,substantial costs,incur substantial,new regulations,workforce,complying",74,"Social,Governance"
23_shortages_supply_components_component,"shortages,supply,components,component,component shortages,suppliers,delays,capacity,issues,delayed,shortage,chain",51,Social
25_conflicts_investment_allocation_investment opportunities,"conflicts,investment,allocation,investment opportunities,conflicts arise,potential conflicts,opportunity,acm,funds,opportunities,investment opportunity,arise",50,Social
33_disposal_laws regulations_state local_safety,"disposal,laws regulations,state local,safety,laws,hazardous,substances,federal,regulations,federal state,local foreign,state",40,"Social,Governance"
36_countries_intellectual property_intellectual_property protection,"countries,intellectual property,intellectual,property protection,property,foreign countries,protection,property rights,rights,united states,united,laws united",39,"Social,Governance"
39_additional capital_capital_financing_additional,"additional capital,capital,financing,additional,equity,need raise,capital fund,debt,raise,raise additional,need,need additional",38,Social
45_reimbursement_payors_party payors_coverage reimbursement,"reimbursement,payors,party payors,coverage reimbursement,care,medicaid,coverage,reimbursement products,reimbursed,health,medicare,healthcare",36,Social
48_acquired_ventures_acquisition_joint ventures,"acquired,ventures,acquisition,joint ventures,acquisitions,risks,joint,acquired company,numerous risks,integration,acquired business,procedures policies",34,Social
60_analysts_announcements_stock_securities analysts,"analysts,announcements,stock,securities analysts,price,trading,investment community,common,variations,community,actual anticipated,common stock",30,"Environmental,Social"
63_minerals_disclosure_disclosure requirements_conflict minerals,"minerals,disclosure,disclosure requirements,conflict minerals,republic,conflict,mineral,disclosures,mined,sec,disclose,diligence",27,"Environmental,Social,Governance"
70_licenses_licenses rights_substitute_party technology,"licenses,licenses rights,substitute,party technology,obtain,license,technology,inability obtain,rights favorable,substitute technology,obtain licenses,reasonable terms",26,Social
77_channel_channel partners_partners_sell products,"channel,channel partners,partners,sell products,relationships,added resellers,resellers,sell,support,distributors,develop manage,procedures support",25,Social
102_policies procedures_agents_policies_procedures,"policies procedures,agents,policies,procedures,compliance,violate,procedures designed,assurance employees,employees contractors,ensure compliance,designed ensure,ensure",21,"Social,Governance"
117_uk_eu_march_withdrawal,"uk,eu,march,withdrawal,29,european union,union,treaty,29 2019,european,2019,leave",18,Social
141_change control_premium shares_receive premium_premium,"change control,premium shares,receive premium,premium,limit opportunity,control,effect delaying,ownership limits,shares,concentrated control,delaying,opportunity",15,Social
152_active user_engagement_user_active,"active user,engagement,user,active,user base,base,decline,user engagement,users,size,penetration,user growth",14,Social
195_restructuring_realign_efficiencies_restructuring plans,"restructuring,realign,efficiencies,restructuring plans,workforce,undertaken,divert attention,divert,day,plans,october,attention",11,Social
198_political_local_import_instability,"political,local,import,instability,economic,labor,shipping,trade protection,staffing managing,protection measures,united states,protection",10,"Social,Governance"
203_uk tax_uk_tax planning_transparency,"uk tax,uk,tax planning,transparency,majestys,matters public,legislation requires,information tax,disclose information,tax,planning,risk management",10,"Social,Governance"
208_portfolio company_portfolio_groups invest_different,"portfolio company,portfolio,groups invest,different,alongside,funds different,minority,equity,invest,funds,private equity,groups",10,Social
231_bargaining_collective bargaining_collective_labor,"bargaining,collective bargaining,collective,labor,bargaining agreements,labor disputes,disputes,sports organizations,sports,disrupt operations,employees covered,attractive repurchase",9,Social
239_excess inclusion_inclusion income_inclusion_stockholders,"excess inclusion,inclusion income,inclusion,stockholders,return capital,distributions,term capital,capital gain,excess,income,tax basis,capital",8,Social
247_difficult raise_raise_funds unable_new capital,"difficult raise,raise,funds unable,new capital,unable raise,capital unable,capital,raise new,deploy capital,make difficult,unable,poor performance",8,Social
