Name,Representation,Count,ESG_Categories
3_penalties_criminal_civil_fines,"penalties,criminal,civil,fines,civil criminal,comply,sanctions,failure comply,criminal penalties,suspension,fines penalties,debarment",182,Governance
12_breaches_security_breach_reputation,"breaches,security,breach,reputation,damage,perceived,systems,security breaches,confidential,actual perceived,networks,data",93,Governance
15_compliance_compliance costs_financial compliance_costs make,"compliance,compliance costs,financial compliance,costs make,consuming costly,costs,systems resources,regulations,activities difficult,increase legal,difficult time,comply",83,Governance
18_assurance_assure_predict_examinations,"assurance,assure,predict,examinations,examinations adverse,outcomes,operations believe,effect business,adverse effect,determination tax,effect,assurance given",78,Governance
19_court_filed_usury_district,"court,filed,usury,district,decision,proposition 22,york,new york,superior court,second,madden,bank",73,Governance
20_financial reporting_internal control_control financial_reporting,"financial reporting,internal control,control financial,reporting,internal,maintain effective,effective internal,controls,internal controls,control,confidence,effective",71,Governance
24_safety_laws_health safety_state local,"safety,laws,health safety,state local,laws regulations,disposal,regulations,govern,anti,substances,import export,hazardous",62,"Social,Governance"
29_inconsistent_laws regulations_laws_jurisdiction,"inconsistent,laws regulations,laws,jurisdiction,inconsistent jurisdiction,interpretations,conflicting,interpretation,result application,regulations,existing laws,application",56,Governance
33_strategy_business strategy_make acquisitions_strategic,"strategy,business strategy,make acquisitions,strategic,acquisitions,acquisition,acquire,invest businesses,businesses,complement,complementary,joint ventures",55,Governance
34_privacy_protection_data privacy_collection,"privacy,protection,data privacy,collection,collection use,federal state,federal,data,state,data protection,personal,international laws",54,Governance
37_proceedings_litigation_resolution_legal proceedings,"proceedings,litigation,resolution,legal proceedings,legal,regulatory proceedings,litigation regulatory,monetary damages,relief,monetary,adverse,damages",52,Governance
40_awards_equity awards_compensation_equity,"awards,equity awards,compensation,equity,value equity,employees,existing employees,connection employment,retain key,retain,incentive,key employees",50,Governance
41_laws regulations_regulations_risk related_regulation,"laws regulations,regulations,risk related,regulation,laws,potential significant,business creates,doing business,cost doing,liabilities penalties,penalties adversely,doing",50,Governance
42_metrics_accounts_estimates_family metrics,"metrics,accounts,estimates,family metrics,family,inaccuracies,false accounts,user,metrics estimates,methodologies,duplicate,map",50,Governance
45_countries_property protection_foreign countries_intellectual property,"countries,property protection,foreign countries,intellectual property,intellectual,property,rights,property rights,laws foreign,enforce,patents,protection",46,"Social,Governance"
49_assurance_new products_achieve market_guarantee efforts,"assurance,new products,achieve market,guarantee efforts,assurance company,able,products enhancements,market acceptance,develop,guarantee,enhancements,effectively",45,Governance
56_threats_security_measures_detect,"threats,security,measures,detect,prevent,cyber,incidents,processes designed,security breaches,designed protect,provide absolute,absolute security",42,Governance
62_directors_board directors_board_stockholders,"directors,board directors,board,stockholders,meeting,election,voting,meeting stockholders,majority,outstanding shares,approval,outstanding",39,Governance
63_policies procedures_agents_policies_procedures,"policies procedures,agents,policies,procedures,ensure compliance,procedures designed,compliance,assurance employees,ensure,employees agents,violation policies,assurance",39,"Social,Governance"
66_attacks_nation_sophisticated_nation states,"attacks,nation,sophisticated,nation states,actors,sophistication,cyberattacks,cyber,cyber attacks,threats,cybersecurity,nation state",37,Governance
73_california_cpra_2023_ccpa,"california,cpra,2023,ccpa,california privacy,january,privacy rights,privacy,effect january,consumer data,rights act,privacy act",34,Governance
80_management agreement_acm_agreement_written notice,"management agreement,acm,agreement,written notice,notice,terminate,written,days,june 18,management,18,cure",32,Governance
81_credit_accounts receivable_receivable_credit risk,"credit,accounts receivable,receivable,credit risk,exposure credit,accounts,receivables,credit risks,exposed credit,financing,risk,trade receivables",32,"Environmental,Governance"
83_information_confidential_unauthorized_accidental,"information,confidential,unauthorized,accidental,compromise,personal information,dissemination,data,disclosure,personal,confidential information,misuse",31,Governance
93_future performance_indication future_indication_quarterly annual,"future performance,indication future,indication,quarterly annual,performance,relied,revenue growth,comparisons,revenue revenue,quarterly,indicative future,performance result",30,"Environmental,Governance"
98_funds_erisa_prohibited_general partner,"funds,erisa,prohibited,general partner,prohibited transaction,agreements funds,investors funds,investment management,fiduciary,funds accounts,vote,certain cases",29,Governance
115_privacy_privacy data_perceived failure_failure comply,"privacy,privacy data,perceived failure,failure comply,comply,regulations obligations,personal data,comply applicable,perceived,data protection,personal,governmental entities",26,Governance
118_systems networks_systems processes_systems_transmission,"systems networks,systems processes,systems,transmission,sensitive,security,networks,information,confidential,secure processing,computer data,networks parties",26,Governance
119_esg_stakeholder_goals_stakeholder expectations,"esg,stakeholder,goals,stakeholder expectations,esg practices,achieve esg,reputation,esg goals,expectations standards,perceived failure,initiatives goals,increased scrutiny",26,Governance
129_funds_investments_fund_funds performance,"funds,investments,fund,funds performance,investment,values,investment returns,performance,investment performance,asset class,class geographic,asset",24,"Environmental,Governance"
