Topic,Count,Representation,ESG_Categories
0,709,"['intellectual property', 'intellectual', 'property', 'property rights', 'patents', 'patent', 'rights', 'infringement', 'patent applications', 'protect intellectual']",['Social']
7,248,"['covid19', 'pandemic', 'covid19 pandemic', 'outbreak', 'coronavirus', 'pandemics', 'public health', 'epidemics', 'health crises', 'crises']",['Social']
19,124,"['strategy', 'business strategy', 'growth', 'execute', 'future growth', 'needs opportunities', 'experienced rapid', 'strategic plans', 'significant investments', 'growth strategy']","['Social', 'Governance']"
20,123,"['offensive', 'defer', 'correct', 'offensive offensive', 'language', 'meaning', 'abet cultural', 'caps meaning', 'correct offensive', 'abet']",['Social']
66,62,"['compliance', 'compliance costs', 'additional costs', 'incur substantial', 'legal financial', 'complying', 'incur', 'financial compliance', 'substantial costs', 'costs associated']","['Social', 'Governance']"
75,56,"['repurchase', 'repurchase program', 'repurchases', 'stock repurchase', 'program', 'share repurchase', 'share repurchases', 'share', 'program fully', 'stock repurchases']",['Social']
92,49,"['hospitals', 'care providers', 'care', 'health care', 'health', 'physicians', 'hospitals health', 'physician', 'health service', 'medical community']","['Environmental', 'Social']"
93,49,"['pay', '', '', '', '', '', '', '', '', '']",['Social']
107,45,"['capital expenditures', 'expenditures', 'expenditures capital', 'spending capital', 'capital', 'expenses readily', 'readily apparent', 'apparent sources', 'expenditure significant', 'including capital']","['Environmental', 'Social']"
118,43,"['technology technologies', 'technologies technology', 'technologies technologies', 'technologies', 'technology technology', 'technology', 'approach technology', 'technologies use', 'technologies products', 'approach']","['Environmental', 'Social']"
133,41,"['regulatory requirements', 'comply applicable', 'applicable rules', 'requirements', 'requirements compliance', 'regulatory', 'applicable', 'compliance', 'compliance applicable', 'requirements regulatory']","['Social', 'Governance']"
141,39,"['growth', 'growth fail', 'manage growth', 'growth able', 'limit growth', 'effectively manage', 'significant strain', 'manage', 'able manage', 'pace growth']",['Social']
153,37,"['protection data', 'data protection', 'protection', 'security data', 'data', 'data security', 'foreign data', 'data loss', 'protection importation', 'protection prevent']","['Social', 'Governance']"
154,37,"['additional capital', 'capital', 'capital structure', 'raise', 'raise additional', 'capital available', 'need additional', 'structure', 'capital expand', 'capital raise']","['Environmental', 'Social', 'Governance']"
157,37,"['bla anda', 'focus training', 'training bla', 'anda desire', 'collectively focus', 'anda', 'bla', 'desire', 'collectively', 'training']",['Social']
172,34,"['protection regulation', 'general data', 'data protection', 'gdpr', 'regulation gdpr', 'protection', 'european', 'regulation', 'european union', 'union']","['Social', 'Governance']"
183,32,"['development development', 'develop develop', 'development develop', 'develop development', 'development', 'develop', 'developing develop', 'develop developing', 'development developing', 'developing development']","['Environmental', 'Social']"
203,30,"['networks networks', 'networks', 'f5 networks', 'including extreme', 'f5', 'networking networks', 'network interconnection', 'network f5', 'computer networks', 'cyber including']",['Social']
226,28,"['interoperate', 'interoperate customers', 'networks products', 'products interoperate', 'customers existing', 'networks', 'customers networks', 'interoperability', 'internal networks', 'existing networks']",['Social']
228,28,"['unauthorized access', 'unauthorized', 'obtain unauthorized', 'techniques used', 'used obtain', 'access unauthorized', 'passwords', 'techniques', 'access', 'security measures']",['Social']
236,27,"['engagement', 'user engagement', 'user', 'engagement products', 'engagement engagement', 'decreased engagement', 'levels engagement', 'level user', 'use engagement', 'user base']",['Social']
244,26,"['occupancy', 'housing', 'rental', 'residents', 'rental rates', 'apartments', 'occupancy rental', 'apartments housing', 'ability lease', 'housing alternatives']",['Social']
252,26,"['standards requirements', 'requirements standards', 'standards obligations', 'standards', 'requirements similar', 'standards standards', 'obligations standards', 'requirements', 'scientific standards', 'activities standards']","['Social', 'Governance']"
334,22,"['human error', 'human', 'error', 'error human', 'failure human', 'failures failures', 'possibility human', 'technological error', 'human technological', 'perceived errors']",['Social']
355,21,"['human resources', 'general administrative', 'administrative', 'resources administrative', 'administration performance', 'administrative systems', 'administrative functions', 'human', 'management', 'activity principals']","['Social', 'Governance']"
389,19,"['consumer protection', 'protection consumer', 'consumer', 'protection', 'laws consumer', 'protection laws', 'act consumer', 'protection act', 'development market', 'initiated actions']","['Social', 'Governance']"
401,19,"['cuts jobs', 'tax cuts', 'cuts', 'jobs', 'jobs act', 'act tax', '2017 tax', 'act', 'tax act', '2017']","['Environmental', 'Social']"
426,18,"['safety safety', 'safety', 'workplace safety', 'workplace', 'safety workplace', 'offline safety', 'peoples safety', 'issues workplace', 'alerts workplace', 'safety unsafe']",['Social']
