Topic,Count,Representation,ESG_Categories
4,306,"['breaches', 'cyberattacks', 'cybersecurity', 'security breaches', 'attacks', 'security', 'cyber', 'threats', 'breach', 'hackers']",['Governance']
19,124,"['strategy', 'business strategy', 'growth', 'execute', 'future growth', 'needs opportunities', 'experienced rapid', 'strategic plans', 'significant investments', 'growth strategy']","['Social', 'Governance']"
34,88,"['acm', 'conflicts', 'acm affiliates', 'acms', 'relationship acm', 'allocation', 'investment opportunities', 'affiliates', 'potential conflicts', 'conflicts arise']",['Governance']
44,79,"['termination', 'termination contracts', 'terminated', 'termination termination', 'early termination', 'contracts', 'terminate', 'early', 'contracts terminated', 'agreement']",['Governance']
60,64,"['risks described', 'risks risks', 'risks', 'described', 'facing', 'following risks', 'risks actually', 'addition risks', 'ones', 'materialize']",['Governance']
66,62,"['compliance', 'compliance costs', 'additional costs', 'incur substantial', 'legal financial', 'complying', 'incur', 'financial compliance', 'substantial costs', 'costs associated']","['Social', 'Governance']"
81,53,"['international operations', 'business internationally', 'international', 'sales operations', 'risks', 'risks inherent', 'doing business', 'international sales', 'internationally', 'risks international']",['Governance']
86,51,"['directors', 'board directors', 'board', 'election directors', 'election', 'including election', 'directors board', 'staggered', 'classified', 'directors able']",['Governance']
96,48,"['analysts', 'securities analysts', 'expectations', 'analysts investors', 'expectations securities', 'financial estimates', 'projections', 'changes financial', 'investors', 'failure meet']",['Governance']
103,47,"['antibribery', 'anticorruption', 'antibribery laws', 'anticorruption antibribery', 'laundering', 'corruption', 'laundering anticorruption', 'antimoney laundering', 'antimoney', 'laws antibribery']",['Governance']
105,46,"['regulations regulations', 'regulations', '', '', '', '', '', '', '', '']","['Environmental', 'Governance']"
133,41,"['regulatory requirements', 'comply applicable', 'applicable rules', 'requirements', 'requirements compliance', 'regulatory', 'applicable', 'compliance', 'compliance applicable', 'requirements regulatory']","['Social', 'Governance']"
146,39,"['privacy', 'privacy laws', 'privacy data', 'regarding privacy', 'regulations regarding', 'relating privacy', 'data privacy', 'laws regulations', 'security laws', 'protect privacy']",['Governance']
153,37,"['protection data', 'data protection', 'protection', 'security data', 'data', 'data security', 'foreign data', 'data loss', 'protection importation', 'protection prevent']","['Social', 'Governance']"
154,37,"['additional capital', 'capital', 'capital structure', 'raise', 'raise additional', 'capital available', 'need additional', 'structure', 'capital expand', 'capital raise']","['Environmental', 'Social', 'Governance']"
172,34,"['protection regulation', 'general data', 'data protection', 'gdpr', 'regulation gdpr', 'protection', 'european', 'regulation', 'european union', 'union']","['Social', 'Governance']"
186,32,"['court', 'netherlands', 'judgment', 'altera', 'decision', 'competent', 'ninth', 'competent jurisdiction', 'court competent', 'circuit']",['Governance']
190,31,"['political political', 'political', 'elections', 'presidential', 'election', 'election elections', 'presidential election', 'elections world', 'includingpolitical', 'campaign presidential']",['Governance']
218,28,"['reputation damage', 'damage reputation', 'damage', 'reputation', 'claims harm', 'damage claims', 'reputation outcomes', 'remedy damage', 'detriment harming', 'contract damage']",['Governance']
219,28,"['audits', 'regulatory audits', 'audit', 'audits investigations', 'administrative processes', 'contractors administrative', 'routinely investigate', 'governments routinely', 'audit government', 'investigate audit']","['Environmental', 'Governance']"
240,27,"['reputation', 'harm reputation', 'affect reputation', 'reputation suffer', 'reputation harmed', 'reputation reputation', 'reputation harm', 'harmed harm', 'suffer reputational', 'reputation damaged']",['Governance']
252,26,"['standards requirements', 'requirements standards', 'standards obligations', 'standards', 'requirements similar', 'standards standards', 'obligations standards', 'requirements', 'scientific standards', 'activities standards']","['Social', 'Governance']"
273,24,"['control controls', 'controls', 'change control', 'controls controls', 'controls prevent', 'prevent change', 'control', 'controls procedures', 'controls controlled', 'controls change']",['Governance']
309,23,"['privacy privacy', 'privacy', 'privacy customer', 'sharing privacy', 'privacy sharing', 'customer privacy', 'shield privacy', 'concerns privacy', 'advocates data', 'privacy called']",['Governance']
340,21,"['financial reporting', 'internal control', 'control financial', 'internal', 'reporting', 'procedures internal', 'internal controls', 'disclosure controls', 'controls financial', 'reporting maintain']",['Governance']
349,21,"['security products', 'products security', 'security', 'security networking', 'satisfaction security', 'issues requirements', 'networking issues', 'integrity security', 'customer security', 'security network']",['Governance']
355,21,"['human resources', 'general administrative', 'administrative', 'resources administrative', 'administration performance', 'administrative systems', 'administrative functions', 'human', 'management', 'activity principals']","['Social', 'Governance']"
