Topic,Count,Representation,ESG_Categories
81,48,"['compliance costs', 'compliance', 'legal financial', 'expenses comply', 'administrative compliance', 'activities time', 'costs', 'significant expenses', 'regulations cause', 'increased costs', 'unpatented mining', 'costs liabilities']",['Governance']
84,47,"['disclosure', 'disclosures', 'disclosed', 'disclose', 'governance', 'filed', 'disclosure reporting', 'information tax', 'public disclosure', 'qualitative', 'quantitative qualitative', 'standards relating']",['Governance']
136,36,"['regulations regulations', 'regulations', 'regulations standards', 'standards regulations', 'standards', 'environmental protection', 'policies regulations', 'gcp regulations', 'regulations toxic', 'standards concerning', 'regulatory standards', 'protection regulations']",['Governance']
158,33,"['telecommunications', 'cloud provider', 'regulatory compliance', 'relating internet', 'changes developments', 'regulation internet', 'failures adversely', 'developments united', 'provider companies', 'providers cloud', 'law guidance', 'government regulation']",['Governance']
189,31,"['privacy', 'privacy data', 'regarding privacy', 'privacy laws', 'regulations regarding', 'data privacy', 'security laws', 'foreign laws', 'laws regulations', 'protect privacy', 'existing laws', 'related laws']",['Governance']
214,28,"['protection regulation', 'general data', 'gdpr', 'regulation gdpr', 'data protection', 'european union', 'union', 'european', 'regulation', 'protection', 'general', 'data']","['Social', 'Governance']"
241,27,"['business business', 'business businesses', 'ethics business', 'business ethics', 'today', 'ethics', 'business combinations', 'combinations', 'business', 'commercial', 'businesses', '']",['Governance']
318,22,"['compensation', 'based compensation', 'share based', 'stock based', 'compensation expense', 'operating executive', 'cost sharing', 'commissioner', 'compensation program', 'sharing arrangement', 'sharing', 'compensation committee']",['Governance']
329,21,"['written consent', 'consent', 'stockholder approval', 'written', 'shareholder approval', 'stockholder action', 'stockholder', 'shareholder', 'directors stockholder', 'stockholders consider', 'board directors', 'directors']",['Governance']
350,21,"['financial reporting', 'internal', 'internal control', 'control financial', 'controls procedures', 'disclosure controls', 'reporting', 'controls financial', 'controls', 'internal controls', 'procedures internal', 'procedures']",['Governance']
355,20,"['expend significant', 'expend', 'significant additional', 'change laws', 'security problems', 'cybersecurity', 'upgrade', 'eliminate', 'security', 'remediating', 'incur significant', 'significant costs']",['Governance']
379,20,"['board', 'board directors', 'directors', 'chairman', 'directors ability', 'chairman board', 'ability board', 'certain current', 'current members', 'current officers', 'arcc board', 'directors considers']",['Governance']
412,19,"['accounting', 'accounting financial', 'processing systems', 'data processing', 'financial reporting', 'reporting', 'accounting business', 'accounting reporting', 'additional accounting', 'staff accounting', 'impact accounting', 'financial functions']",['Governance']
416,19,"['control financial', 'internal control', 'financial reporting', 'material weaknesses', 'weaknesses', 'internal', 'reporting', 'effective internal', 'weaknesses internal', '404', 'section 404', 'effectiveness internal']",['Governance']
461,17,"['cyber', 'cybersecurity', 'breaches', 'lead loss', 'networks systems', 'cyber attacks', 'confidential information', 'attacks', 'incident', 'malicious', 'business causing', 'compromise intellectual']",['Governance']
478,17,"['procedures designed', 'policies procedures', 'designed ensure', 'ensure compliance', 'implemented policies', 'compliance laws', 'designed', 'procedures', 'comply laws', 'ensure', 'order comply', 'compliance']",['Governance']
511,16,"['data protection', 'gdpr', 'significant limitations', 'regulations impose', 'impose significant', 'protection', 'protection laws', 'security data', 'penalties', 'fines', 'passed', 'data']",['Governance']
528,16,"['procedures controls', 'controls', 'controls procedures', 'control controls', 'subject controls', 'controllers', 'procedures', 'control company', 'control control', 'oversight', 'active', 'profits']",['Governance']
530,16,"['directors', 'including election', 'board', 'board directors', 'staggered', 'class director', 'director', 'vacancies board', 'election', 'vacancies', 'election directors', 'classified']",['Governance']
553,15,"['reporting', 'report', 'contained report', 'information contained', 'reported', 'properly recorded', 'transactions properly', 'followed', 'issued report', 'assurance respect', 'systems procedures', 'findings']",['Governance']
622,13,"['erisa', '4975', 'erisa section', 'section 4975', '4975 code', 'funds accounts', 'fiduciary', 'prohibited transaction', 'responsibility', 'subject fiduciary', 'covered person', 'plan assets']",['Governance']
624,13,"['export', 'export controls', 'import', 'import export', 'export import', 'export control', 'compliance', 'administration regulations', 'compliance trade', 'export requirements', 'export administration', 'controls disrupt']",['Governance']
629,13,"['protection data', 'data protection', 'protection', 'privacy data', 'data', 'protection including', 'respect privacy', 'protection personal', 'protection privacy', 'including respect', 'privacy', 'personal information']",['Governance']
675,12,"['privacy privacy', 'privacy', 'particularly areas', 'customer privacy', 'privacy including', 'personal privacy', 'privacy shield', 'privacy personal', 'shield', 'called', 'areas', 'apply']",['Governance']
696,12,"['compliance compliance', 'compliance', 'comply public', 'comply international', 'public statements', 'institutions required', 'subject compliance', 'complex foreign', 'variety international', 'foreign financial', 'broadly', 'designed ensure']",['Governance']
701,12,"['special', 'meeting stockholders', 'meetings', 'special meetings', 'meeting', 'meetings stockholders', 'called', 'stockholders', 'annual special', 'board directors', 'board', 'prohibit stockholders']",['Governance']
732,11,"['compliance compliance', 'compliance', 'regulatory compliance', 'required implement', 'compliance environmental', 'compliance programs', 'compliance policies', 'despite implementation', 'compliance matters', 'environmental compliance', 'compliance regulatory', 'uniform']",['Governance']
855,9,"['financial reporting', 'reporting financial', 'reporting', 'financial strength', 'include financial', 'systems financial', 'evolve financial', 'timeliness', 'time cost', 'reporting systems', 'rating agencies', 'transparency']",['Governance']
886,9,"['cybersecurity', 'cybersecurity measures', 'cyber risks', 'conduct periodic', 'engage parties', 'cybersecurity environment', 'cybersecurity incident', 'parties conduct', 'cybersecurity data', 'company data', 'oversee', 'penetration']",['Governance']
912,8,"['change control', 'prevent change', 'control influence', 'circumvention', 'control', 'change', 'prevent', 'control control', 'ibm', 'influence', 'controls', 'including']",['Governance']
987,7,"['founder', 'member board', 'officer founder', 'founder chief', 'chief', 'officer', 'member', 'board directors', 'board', 'directors', 'development', '']",['Governance']
1009,7,"['antitrust', 'anti competition', 'subject antitrust', 'including antitrust', 'matters subject', 'sanctions imposed', 'anti', 'competition', 'imposed', 'sanctions', 'regulations', 'matters']",['Governance']
1047,6,"['compensation', 'remuneration', 'ability transact', 'competitive compensation', 'compensation package', 'transact business', 'rules relating', 'including relating', 'personnel ability', 'transact', 'provide competitive', 'compensation committee']",['Governance']
