Topic,Count,Representation,ESG_Categories
88,45,"['environmental', 'carbon', 'emissions', 'environmental protection', 'environment environmental', 'chemicals', 'hazardous', 'environmental matters', 'toxic', 'gases', 'air', 'hazardous materials']",['Environmental']
150,34,"['weather', 'weather conditions', 'catastrophic', 'catastrophic events', 'climate', 'climate change', 'disasters', 'natural', 'extreme', 'natural disasters', 'events', 'unforeseen events']",['Environmental']
182,31,"['manage growth', 'able manage', 'growth', 'manage', 'growth effectively', 'effectively manage', 'effectively', 'organic growth', 'organic', 'achieving', 'growth strategy', 'fail manage']",['Environmental']
226,27,"['margins', 'gross', 'gross margins', 'vary time', 'vary', 'gross margin', 'sustainable', 'margin', 'fluctuations gross', 'margins operating', 'affected numerous', 'factors expect']",['Environmental']
239,27,"['disposal', 'hazardous', 'disposal hazardous', 'hazardous materials', 'hazardous substances', 'waste', 'substances', 'clean', 'materials', 'recycling', 'disposing', 'sites']",['Environmental']
250,26,"['taxes', 'taxes tax', 'goods services', 'sales taxes', 'taxes net', 'fuel energy', 'taxes royalties', 'tax resident', 'excise', 'taxation tax', 'carbon', 'royalties']",['Environmental']
268,24,"['loan', 'security agreement', 'energy capital', 'loan security', 'capital loan', 'steward', 'steward capital', 'energy', 'agreement', 'term loans', 'capital energy', 'term loan']",['Environmental']
389,19,"['decommissioning', 'divest', 'dispose', 'properties', 'reclaim', 'dispose assets', 'reclamation', 'decommissioning nuclear', 'forced dispose', 'subject costs', 'unsuccessful investments', 'reuse']",['Environmental']
394,19,"['floods', 'flooding', 'number facilities', 'certain number', 'located near', 'severe weather', 'facilities located', 'severe', 'near', 'weather', 'located', 'experienced']",['Environmental']
463,17,"['beps', 'international tax', 'long standing', 'tax principles', 'oecd', 'standing', 'cross border', 'border', 'base erosion', 'erosion', 'changes numerous', 'beps project']",['Environmental']
502,17,"['performance performance', 'performance', 'prescribe', 'technical performance', 'new ones', 'films', 'sustainability', 'replaced', 'replace', 'home', 'music', 'ones']",['Environmental']
522,16,"['environmental laws', 'environmental', 'air water', 'climate change', 'climate', 'environmental legislation', 'air', 'water', 'concerns regarding', 'enacted response', 'policies laws', 'laws federal']",['Environmental']
526,16,"['goods', 'produce', 'waste', 'items', 'certain', '', '', '', '', '', '', '']",['Environmental']
692,12,"['renewable', 'energy', 'electricity', 'consumption', 'power', 'power energy', 'forms energy', 'wind', 'products linde', 'energy sources', 'infrastructure energy', 'subsidies']",['Environmental']
711,12,"['incentives', 'various forms', 'granting agencies', 'incentives various', 'qualify incentives', 'differs', 'financial incentives', 'market development', 'incentive arrangements', 'energy efficiency', 'typically provide', 'advertising market']",['Environmental']
878,9,"['ability sell', 'sell products', 'expand network', 'distributions ability', 'payments ability', 'network ability', 'mechanism', 'partner network', 'contents ability', 'sustainability', 'named patient', '17table contents']",['Environmental']
978,7,"['earnings cash', 'variable', 'cash flow', 'flow', 'earnings', 'revenue income', 'variability revenue', 'earnings earnings', 'sustainability', 'quarter year', 'cash', 'year year']",['Environmental']
