Topic,Count,Name,Representation,Representative_Docs
-1,6784,-1_products_customers_business_new,"['products', 'customers', 'business', 'new', 'services', 'costs', 'investments', 'ability', 'result', 'certain', 'adversely', 'operations']","['Whether or not there is merit to a given claim, it can be time consuming and costly to defend against, and could: 23adversely affect our relationships with our current or future users, customers and suppliers; cause delays or stoppages in the shipment of our products; cause us to modify or redesign our products; cause us to rebrand our products or services; subject us to a temporary or permanent injunction; divert managements attention and resources; subject us to significant damages or settlements; cause us to give up some of our intellectual property; require us to enter into costly licensing agreements; orrequire us to cease offering certain of our products or services.', 'Despite our efforts to implement these protections, they may not protect our business or provide us with a competitive advantage for a variety of reasons, including: the failure by us to obtain patents and other intellectual property rights for important innovations or maintain appropriate confidentiality and other protective measures to establish and maintain our trade secrets; to the extent a customer or partner owns any intellectual property created through a professional services engagement, our inability to use or monetize that intellectual property as part of our business; uncertainty in, and evolution of, legal standards relating to the validity, enforceability, and scope of protection of intellectual property rights; potential invalidation of our intellectual property rights through administrative processes or litigation; our inability to detect infringement or other misappropriation of our intellectual property rights by third parties; andother practical, resource, or business limitations on our ability to enforce our rights.', 'Our advertising revenue can also be adversely affected by a number of other factors, including: decreases in user engagement, including time spent on our products; our inability to continue to increase user access to and engagement with our products; product changes or inventory management decisions we may make that change the size, format, frequency, or relative prominence of ads displayed on our products or of other unpaid content shared by marketers on our products; our inability to maintain or increase marketer demand, the pricing of our ads, or both; our inability to maintain or increase the quantity or quality of ads shown to users; changes to third-party policies that limit our ability to deliver, target, or measure the effectiveness of advertising, including changes by mobile operating system and browser providers such as Apple and Google; 15Table of Contentsadverse government actions or legislative, regulatory, or other legal developments relating to advertising, including developments that may impact our ability to deliver, target, or measure the effectiveness of advertising; user behavior or product changes that may reduce traffic to features or products that we successfully monetize, such as our feed and Stories products, including as a result of increased usage of our Reels or other video or messaging products; reductions of advertising by marketers due to our efforts to implement or enforce advertising policies that protect the security and integrity of our platform; the availability, accuracy, utility, and security of analytics and measurement solutions offered by us or third parties that demonstrate the value of our ads to marketers, or our ability to further improve such tools; loss of advertising market share to our competitors, including if prices to purchase our ads increase or if competitors offer lower priced, more integrated, or otherwise more effective products; limitations on our ability to offer a number of our most significant products and services, including Facebook and Instagram, in Europe as a result of European regulators, courts, or legislative bodies determining that our reliance on SCCs or other legal bases we rely upon to transfer user data from the European Union to the United States is invalid; changes in our marketing and sales or other operations that we are required to or elect to make as a result of risks related to complying with foreign laws or regulatory requirements or other government actions; decisions by marketers to reduce their advertising as a result of announcements by us or adverse media reports or other negative publicity involving us, our user data practices, our advertising metrics or tools, content on our products, our interpretation, implementation, or enforcement of policies relating to content on our products (including as a result of decisions or recommendations from the independent Oversight Board), developers with mobile and web applications that are integrated with our products, or other companies in our industry; reductions of advertising by marketers due to objectionable content made available on our products by third parties, questions about our user data practices or the security of our platform, concerns about brand safety or potential legal liability, or uncertainty regarding their own legal and compliance obligations (for example, a number of marketers announced that they paused advertising with us in July 2020 due to concerns about content on our products); the effectiveness of our ad targeting or degree to which users opt in or out of the use of data for ads, including as a result of product changes and controls that we have implemented or may implement in the future in connection with the GDPR, ePrivacy Directive, California Consumer Privacy Act (CCPA), other laws, regulations, regulatory actions, or litigation, or otherwise, that impact our ability to use data for advertising purposes; the degree to which users cease or reduce the number of times they engage with our ads; changes in the way advertising on mobile devices or on personal computers is measured or priced; the success of technologies designed to block the display of ads or ad measurement tools; changes in the composition of our marketer base or our inability to maintain or grow our marketer base; andthe impact of macroeconomic and geopolitical conditions, whether in the advertising industry in general, or among specific types of marketers or within particular geographies.']"
0,511,0_covid_covid 19_19_pandemic,"['covid', 'covid 19', '19', 'pandemic', '19 pandemic', 'spread', 'global', 'variants', 'outbreak', 'duration', 'result covid', 'impact']","['The continued effects of the COVID-19 pandemic could adversely affect our business, results of operations, and financial condition.', 'Due to the uncertainty around the duration of the pandemic, the impact of new variants of 17Table of ContentsCOVID-19, the availability, distribution and effectiveness of vaccines and treatments for COVID-19 around the world, the imposition of public safety measures, the impact of the pandemic on the global economy and the impact of COVID-19 on our customers, partners, contract manufacturers and supply chain, we are unable to predict the full impact of the COVID-19 pandemic on our business operations and financial performance.', 'The Covid-19 pandemic may negatively impact our business, results of operations and financial performance.']"
1,264,1_competitors_greater_competition_competitive,"['competitors', 'greater', 'competition', 'competitive', 'compete', 'established', 'highly competitive', 'resources', 'greater resources', 'characterized', 'markets', 'larger']","['Many of our existing and potential competitors have or could have substantial competitive advantages including, among others: greater name recognition; longer operating histories and larger customer bases; larger sales and marketing budgets and capital resources; broader distribution and established relationships with partners and customers; greater customer support resources; greater resources to make acquisitions and enter into strategic partnerships; lower labor and research and development costs; larger and more mature intellectual property rights portfolios; control of significant technologies, standards, or networks, including operating systems, with which our products must interoperate; higher or more difficult to obtain security certifications than we possess; andsubstantially greater financial, technical, and other resources.', 'Many of our existing and potential competitors enjoy substantial competitive advantages, such as greater name recognition and longer operating histories, larger sales and marketing budgets and resources, broader distribution and established relationships with channel partners and end customers, the ability to leverage their sales efforts across a broader portfolio of products, the ability to bundle competitive offerings with other products and services, the ability to develop their own silicon chips, the ability to set more aggressive pricing policies, lower labor and development costs, greater resources to make acquisitions, larger intellectual property portfolio, and substantially greater financial, technical, research and development or other resources.', 'Many of our competitors and potential competitors have greater name recognition, longer operating histories, more established customer relationships and installed customer bases, larger marketing budgets and greater resources than we do.']"
2,211,2_personnel_retain_key_qualified,"['personnel', 'retain', 'key', 'qualified', 'hire', 'key employees', 'qualified personnel', 'employees', 'attract', 'retain qualified', 'culture', 'hiring']","['We rely on highly skilled personnel and, if we are unable to retain or motivate key personnel, hire qualified personnel, or maintain our corporate culture, we may not be able to grow effectively.', 'Any turnover in senior management in the future or inability to attract and retain qualified personnel could have a material adverse effect on our business and results of operations.', 'We rely on our co-founders and other key technical, sales, and management personnel to grow our business, and the loss of one or more key employees or the inability to attract and retain qualified personnel could harm our business.']"
3,182,3_penalties_criminal_civil_fines,"['penalties', 'criminal', 'civil', 'fines', 'civil criminal', 'comply', 'sanctions', 'failure comply', 'criminal penalties', 'suspension', 'fines penalties', 'debarment']","['In addition, noncompliance with anti-corruption, anti-bribery, or anti-money laundering laws could subject us to whistleblower complaints, investigations, sanctions, settlements, prosecution, enforcement actions, fines, damages, other civil or criminal penalties or injunctions, suspension or debarment from contracting with certain persons, reputational harm, adverse media coverage, and other collateral consequences.', 'Noncompliance with these laws could subject us to investigations, severe criminal or civil sanctions, settlements, prosecution, loss of export privileges, suspension or debarment from US. government contracts and other contracts, other enforcement actions, the appointment of a monitor, disgorgement of profits, significant fines, damages, other civil and criminal penalties or injunctions, whistleblower complaints, adverse media coverage and other consequences.', 'Noncompliance with these laws could subject us to investigations, severe criminal or civil sanctions, settlements, prosecution, loss of export privileges, suspension or debarment from US. government contracts, other enforcement actions, disgorgement of profits, significant fines, damages, other civil and criminal penalties or injunctions, whistleblower complaints, adverse media coverage and other consequences.']"
4,170,4_tax_effective tax_tax rate_tax laws,"['tax', 'effective tax', 'tax rate', 'tax laws', 'changes tax', 'tax rates', 'changes', 'effective', 'rate', 'deferred tax', 'taxation', 'income']","['Our effective tax rate may be adversely impacted by changes in the mix of earnings between jurisdictions with different statutory tax rates, in the valuation of our deferred tax assets, and by changes in tax rules and regulations.', 'The Companys effective tax rates are affected by changes in the mix of earnings in countries with differing statutory tax rates, changes in the valuation of deferred tax assets and liabilities, the introduction of new taxes, or changes in tax laws or their interpretation, including in the US. and Ireland.', 'Our effective tax rate in the future could be adversely affected by changes to our operating structure, changes in the mix of earnings in countries with differing statutory tax rates, changes in the valuation of deferred tax assets and liabilities, or changes in tax laws or in their interpretation or enforcement.']"
5,125,5_rely_aws_amazon_party,"['rely', 'aws', 'amazon', 'party', 'rely parties', 'rely party', 'cloud', 'amazon web', 'parties', 'web services', 'providers', 'services aws']","['We host our AI lending platform using Amazon Web Services, or AWS, a provider of cloud infrastructure services.', 'In addition, our platform currently operates on public cloud infrastructure provided by Amazon Web Services (AWS), Microsoft Azure (Azure), and Google Cloud Platform (GCP), and our costs and gross margins are significantly influenced by the prices we are able to negotiate with these public cloud providers, which in certain cases are also our competitors.', 'We rely on third party service providers, such as G-Suite, Google Cloud and Amazon Web Services, to provide distributed computing infrastructure platforms for business operations, or what is commonly referred to as a cloud computing service.']"
6,106,6_material adverse_effect business_adverse effect_material,"['material adverse', 'effect business', 'adverse effect', 'material', 'adverse', 'results operations', 'foregoing', 'financial condition', 'condition', 'effect', 'results', 'condition results']","['This could have an adverse effect on our business, results of operations and financial condition.', 'This could have a material adverse effect on our business, financial condition, results of operations and prospects.', 'This could have a material adverse effect on our business, financial condition and results of operations.']"
7,106,7_economic conditions_economic_conditions_spending,"['economic conditions', 'economic', 'conditions', 'spending', 'global economic', 'global', 'economy', 'inflation', 'uncertainty', 'markets', 'downturn', 'political']","['Adverse changes in global, regional or local economic conditions, including recession or slowing growth, changes or uncertainty in fiscal, monetary, or trade policy, higher interest rates, tighter credit, inflation, lower capital expenditures by businesses including on IT infrastructure, increases in unemployment, and lower consumer confidence and spending, periodically occur.', 'Macroeconomic and Industry RisksThe Companys operations and performance depend significantly on global and regional economic conditions and adverse economic conditions can materially adversely affect the Companys business, results of operations and financial condition.', 'The effects of global or regional economic conditions on the Companys suppliers, described in The Companys operations and performance depend significantly on global and regional economic conditions and adverse economic conditions can materially adversely affect the Companys business, results of operations and financial condition, above, can also affect the Companys ability to obtain components.']"
8,105,8_currencies_currency_dollar_dollars,"['currencies', 'currency', 'dollar', 'dollars', 'foreign currency', 'exchange rates', 'currency exchange', 'exchange', 'foreign', 'denominated', 'foreign currencies', 'fluctuations']","['These operating expenses are denominated in foreign currencies and are subject to fluctuations due to changes in foreign currency exchange rates.', 'Further, a portion of our operating expenses is incurred outside the US., is denominated in foreign currencies and is subject to fluctuations due to changes in foreign currency exchange rates.', 'In addition, an increasing portion of our operating expenses is incurred outside the United States, is denominated in foreign currencies, such as the Australian Dollar, British Pound, Canadian Dollar, Euro, and Indian Rupee, is subject to fluctuations due to changes in foreign currency exchange rates.']"
