Name,Representation,Count,ESG_Categories
9_adjusted_ebitda_adjusted ebitda_net income,"adjusted,ebitda,adjusted ebitda,net income,useful,performance,measure,gaap,gaap financial,investors,segment ebda,ebda",67,"Environmental,Governance"
10_awards_stock_grant_restricted stock,"awards,stock,grant,restricted stock,compensation,vesting,restricted,based,grant date,based compensation,stock based,compensation expense",67,Governance
30_exposure_mitigate_hedging_risk,"exposure,mitigate,hedging,risk,commodity,derivative,price risk,hedging program,mitigate exposure,risk management,risk associated,exposure commodity",45,"Environmental,Governance"
41_repurchase_repurchase program_share repurchase_board,"repurchase,repurchase program,share repurchase,board,program,shares,directors,repurchased,board directors,common stock,share,stock",36,Governance
70_dividend_quarterly dividend_quarterly_announced,"dividend,quarterly dividend,quarterly,announced,38 percent,2019 announced,directors,directors approved,board directors,dividends,board,38",26,Governance
71_emissions_ghg_climate change_laws,"emissions,ghg,climate change,laws,laws regulations,climate,legislation,regulations,emission,regulation,proposed promulgated,proposed",26,"Environmental,Governance"
106_rattler_compliance financial_compliance_financial covenants,"rattler,compliance financial,compliance,financial covenants,covenants,2019 compliance,llc,credit agreement,llc borrower,llc rattler,guaranteed,omp",20,Governance
107_priorities_returns_allocation_focus,"priorities,returns,allocation,focus,maintain,capital allocation,discipline,shareholder,invest,strong,dividend,disciplined",20,Governance
131_million million_million 2017_2018 million_million operations,"million million,million 2017,2018 million,million operations,period million,2017 period,million,operations million,million 2018,ghana,compared 2019,arbitration",17,Governance
149_critical_critical accounting_audit committee_policies estimates,"critical,critical accounting,audit committee,policies estimates,committee,policies,audit,accounting policies,following critical,board directors,accounting,board",15,"Environmental,Social,Governance"
155_limits_regulations_laws_laws regulations,"limits,regulations,laws,laws regulations,state local,local,hazardous,state,federal,federal state,water,environmental",15,"Environmental,Governance"
162_goodwill_reporting unit_reporting_impairment test,"goodwill,reporting unit,reporting,impairment test,value reporting,goodwill impairment,test,unit,reporting units,impairment,carrying,qualitative",15,Governance
202_laws_standards_regulations_evolve,"laws,standards,regulations,evolve,laws rules,implementation,rules regulations,accurately,financial impact,laws regulations,rules,compliance",12,Governance
222_risk factors_item 1a_1a_1a risk,"risk factors,item 1a,1a,1a risk,risk,factors,item,looking statements,forward looking,business item,looking,description",11,"Environmental,Governance"
229_cases_counsel_process_compliance,"cases,counsel,process,compliance,advice,potential exposures,trial,monitor,employees,training,exposures,enables",11,"Social,Governance"
264_commercial paper_paper_commercial_paper program,"commercial paper,paper,commercial,paper program,revolving,revolving credit,support,credit,credit facility,facility,supported,program",9,"Social,Governance"
277_costless_option_collars_downside,"costless,option,collars,downside,protection,option proceeds,option option,purchase option,downside price,options,price protection,collar",8,Governance
